,Year,Plot,Quadrant,Species,Cover,Site
1,2023,NW333,1,Lolium multiflorum,15,Boothby
2,2023,NW333,1,Vicia faba,20,Boothby
3,2023,NW333,1,Anthriscus sylvestris,2,Boothby
4,2023,NW333,2,Vicia faba,25,Boothby
5,2023,NW333,2,Lolium multiflorum,15,Boothby
6,2023,NW333,2,Phleum pratense,5,Boothby
7,2023,NW333,2,Corn speedwell,1,Boothby
8,2023,NW333,3,Vicia faba,5,Boothby
9,2023,NW333,3,Lolium multiflorum,20,Boothby
10,2023,NW333,3,Phleum pratense,3,Boothby
11,2023,NW333,4,Vicia faba,60,Boothby
12,2023,NW333,4,Lolium multiflorum,15,Boothby
13,2023,NW333,4,Phleum pratense,5,Boothby
14,2023,NW311,1,Triticum aestivum,50,Boothby
15,2023,NW311,1,Bromopsis ramosa,10,Boothby
16,2023,NW311,1,Anisantha sterilis,7,Boothby
17,2023,NW311,1,Poa pratensis,2,Boothby
18,2023,NW311,2,Anisantha sterilis,6,Boothby
19,2023,NW311,2,Bromopsis ramosa,2,Boothby
20,2023,NW311,2,Triticum aestivum,40,Boothby
21,2023,NW311,3,Triticum aestivum,55,Boothby
22,2023,NW311,3,Bromopsis ramosa,10,Boothby
23,2023,NW311,3,Anisantha sterilis,4,Boothby
24,2023,NW311,4,Triticum aestivum,60,Boothby
25,2023,NW311,4,Bromopsis ramosa,3,Boothby
26,2023,NW311,4,Anisantha sterilis,10,Boothby
27,2023,NW133,1,Salix aurita,40,Boothby
28,2023,NW133,1,Cynosurus cristatus,15,Boothby
29,2023,NW133,1,Pulicaria dysenterica,4,Boothby
30,2023,NW133,1,Leucanthemum vulgare,3,Boothby
31,2023,NW133,1,Vicia tetrasperma,25,Boothby
32,2023,NW133,1,Lotus corniculatus,3,Boothby
33,2023,NW133,1,Torilis japonica,10,Boothby
34,2023,NW133,2,Torilis japonica,15,Boothby
35,2023,NW133,2,Salix aurita,27,Boothby
36,2023,NW133,2,Rubus fruticosus,5,Boothby
37,2023,NW133,2,Cynosurus cristatus,10,Boothby
38,2023,NW133,2,Vicia tetrasperma,25,Boothby
39,2023,NW133,2,Holcus lanatus,1,Boothby
40,2023,NW133,2,Lotus corniculatus,5,Boothby
41,2023,NW133,2,Leucanthemum vulgare,3,Boothby
42,2023,NW133,3,Vicia tetrasperma,28,Boothby
43,2023,NW133,3,Cynosurus cristatus,5,Boothby
44,2023,NW133,3,Salix aurita,25,Boothby
45,2023,NW133,3,Torilis japonica,5,Boothby
46,2023,NW133,3,Poa pratensis,8,Boothby
47,2023,NW133,3,Elymus repens,5,Boothby
48,2023,NW133,3,Geranium dissectum,6,Boothby
49,2023,NW133,3,Phleum pratense,3,Boothby
50,2023,NW133,3,Holcus lanatus,5,Boothby
51,2023,NW133,4,Vicia tetrasperma,20,Boothby
52,2023,NW133,4,Salix aurita,10,Boothby
53,2023,NW133,4,Torilis japonica,20,Boothby
54,2023,NW133,4,Leucanthemum vulgare,4,Boothby
55,2023,NW133,4,Taraxacum officinale,10,Boothby
56,2023,NW133,4,Anisantha sterilis,15,Boothby
57,2023,NW133,4,Holcus lanatus,4,Boothby
58,2023,NW133,4,Cynosurus cristatus,7,Boothby
59,2023,NW133,4,Geranium dissectum,4,Boothby
60,2023,NW133,4,Poa annua,3,Boothby
61,2023,NW133,4,Pulicaria dysenterica,3,Boothby
62,2023,NW322,1,Triticum aestivum,100,Boothby
63,2023,NW322,2,Triticum aestivum,100,Boothby
64,2023,NW322,3,Triticum aestivum,100,Boothby
65,2023,NW322,4,Triticum aestivum,100,Boothby
66,2023,NW233,1,Triticum aestivum,100,Boothby
67,2023,NW233,2,Triticum aestivum,100,Boothby
68,2023,NW233,3,Triticum aestivum,90,Boothby
69,2023,NW233,4,Triticum aestivum,100,Boothby
70,2023,NW222,1,Triticum aestivum,100,Boothby
71,2023,NW222,2,Triticum aestivum,100,Boothby
72,2023,NW222,3,Triticum aestivum,100,Boothby
73,2023,NW222,4,Triticum aestivum,100,Boothby
74,2023,NW211,1,Triticum aestivum,100,Boothby
75,2023,NW211,2,Triticum aestivum,100,Boothby
76,2023,NW211,3,Triticum aestivum,100,Boothby
77,2023,NW211,4,Triticum aestivum,100,Boothby
78,2023,NW122,1,Triticum aestivum,100,Boothby
79,2023,NW122,2,Triticum aestivum,90,Boothby
80,2023,NW122,3,Triticum aestivum,90,Boothby
81,2023,NW122,4,Triticum aestivum,65,Boothby
82,2023,NW112,1,Phleum pratense,2,Boothby
83,2023,NW112,1,Triticum aestivum,98,Boothby
84,2023,NW112,2,Phleum pratense,15,Boothby
85,2023,NW112,2,Triticum aestivum,80,Boothby
86,2023,NW112,3,Phleum pratense,18,Boothby
87,2023,NW112,3,Triticum aestivum,72,Boothby
88,2023,NW112,4,Phleum pratense,1,Boothby
89,2023,NW112,4,Triticum aestivum,99,Boothby
90,2023,NW113,1,Phleum pratense,15,Boothby
91,2023,NW113,1,Triticum aestivum,85,Boothby
92,2023,NW113,2,Phleum pratense,20,Boothby
93,2023,NW113,2,Triticum aestivum,80,Boothby
94,2023,NW113,3,Phleum pratense,30,Boothby
95,2023,NW113,3,Triticum aestivum,70,Boothby
96,2023,NW113,4,Phleum pratense,5,Boothby
97,2023,NW113,4,Triticum aestivum,95,Boothby
98,2023,NW111,1,Lolium giganteum,70,Boothby
99,2023,NW111,1,Poa trivialis,6,Boothby
100,2023,NW111,1,Glechoma hederacea,4,Boothby
101,2023,NW111,2,Lolium giganteum,85,Boothby
102,2023,NW111,2,Poa trivialis,5,Boothby
103,2023,NW111,3,Lolium giganteum,50,Boothby
104,2023,NW111,3,Poa trivialis,15,Boothby
105,2023,NW111,3,Glechoma hederacea,25,Boothby
106,2023,NW111,3,Mercurialis perennis,10,Boothby
107,2023,NW111,4,Lolium giganteum,70,Boothby
108,2023,NW111,4,Glechoma hederacea,10,Boothby
