"","plot","species","year","abundance","SLA","Height","Seed_mass"
"1","A7","Linaria vulgaris",2023,1,19.6998957135714,0.43525,0.140833333333333
"2","A7","Orchis anthropophora",2022,1,30.01,0.15,NA
"3","A7","Pilosella officinarum",2022,1,14.4839690928571,0.0206428571428571,0.19
"4","A7","Silene vulgaris",2022,3,29.3052907791803,0.407821428571429,0.938152173913044
"5","A9","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"6","A9","Alliaria petiolata",2023,1,47.0135,0.561111111111111,2.70525
"7","A9","Dactylis glomerata",2023,1,25.6180945078378,0.27101383,0.846644654545455
"8","A9","Fagus sylvatica",2023,1,15.1312086914368,23.9347058823529,246.218081555556
"9","A9","Primula veris",2022,1,19.1466666666667,0.155555555555556,0.8496
"10","B6","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"11","B6","Glechoma hederacea",2022,1,35.1604444414286,0.2425,0.69
"12","B6","Pentaglottis sempervirens",2022,1,25.302,0.51,NA
"13","B8","Acer campestre",2023,1,12.8478128282563,13.1394736842105,110.945321529412
"14","B8","Bryonia dioica",2023,1,NA,NA,11.4
"15","B8","Chelidonium majus",2023,1,44.8854545454545,0.4875,0.753333333333333
"16","B8","Cirsium arvense",2023,1,15.3333392966667,0.780030272727273,1.24347022727273
"17","B8","Cirsium vulgare",2023,1,14.7780548465484,0.895469428571429,2.60755653333333
"18","B8","Clinopodium vulgare",2023,1,23.6,0.419444444444444,0.3547
"19","B8","Cymbalaria muralis",2023,1,24.8666666666667,0.25,0.13
"20","B8","Dactylis glomerata",2023,1,25.6180945078378,0.27101383,0.846644654545455
"21","B8","Euphorbia peplus",2022,1,37.75,0.175,0.703833333333333
"22","B8","Glechoma hederacea",2023,1,35.1604444414286,0.2425,0.69
"23","B8","Helminthotheca echioides",2023,1,NA,NA,NA
"24","B8","Humulus lupulus",2022,1,23.9666666666667,5,3.46
"25","B8","Lamium album",2023,1,35.809447676129,0.313090909090909,1.775
"26","B8","Lathyrus pratensis",2023,2,35.7433705855263,0.548636363636364,11.3875
"27","B8","Pentaglottis sempervirens",2022,1,25.302,0.51,NA
"28","B8","Rumex sanguineus",2022,2,25,0.745,1.13
"29","B8","Silene latifolia",2023,1,21.217893583,0.45975,0.603888888888889
"30","B8","Urtica dioica",2023,1,22.1834656468364,0.480761904761905,0.1262775
"31","B9","Reseda lutea",2022,1,17.9333333333333,0.375,0.83875
"32","C5","Luzula campestris",2022,1,24.3901697261538,0.18958333333375,0.631444444444444
"33","C6","Claytonia perfoliata",2022,1,45.1702448047143,0.157963,1.220675
"34","C6","Glechoma hederacea",2022,2,35.1604444414286,0.2425,0.69
"35","C6","Hyacinthoides hispanica",2022,1,24.275,NA,NA
"36","D1","Ribes sanguineum",2022,1,21.1384025,1.7879114,2.96444828571429
"37","D5","Iris pseudacorus",2022,1,14.9235714285714,0.75,51.335
"38","F10","Carduus nutans",2023,1,17.05,0.6,2.53
"39","J10","Centaurea scabiosa",2022,2,19.6309122222222,0.396850838709677,5.9216875
"40","J10","Galium verum",2022,1,34.1835095576023,0.244409836065574,0.509378378378378
"41","J10","Glechoma hederacea",2022,1,35.1604444414286,0.2425,0.69
"42","J10","Matricaria discoidea",2022,1,23.325,0.175,NA
"43","J10","Reseda lutea",2022,1,17.9333333333333,0.375,0.83875
