"","plot","species","year","abundance","SLA","Height","Seed_mass","beta_contrib","phylo_dist","site","siteyear","mpd","sd.mpd","csMSPD"
"1","A1","Calluna vulgaris",2021,1,11.2354173508484,0.779285714285714,0.0356363636363636,0.0110919506546055,119.165507,"Silwood","Silwood.2021",263.008868448649,126.880615946341,-1.13369059864496
"2","A1","Mercurialis annua",2023,1,48.063,0.26875,1.53333333333333,0.0388690838098254,NA,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,NA
"3","A1","Rhododendron ponticum",2022,2,6.38461603983751,3,0.2,0.0390807142282091,107.609468,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-1.64795091108175
"4","A1","Sorbus aucuparia",2021,1,10.7430853767383,8.70430268589744,15.6541576,0.0092355024848214,119.165507,"Silwood","Silwood.2021",263.008868448649,126.880615946341,-1.13369059864496
"5","A1","Tussilago farfara",2022,1,19.625,0.16375,0.346666666666667,0.00558149109349745,107.609468,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-1.64795091108175
"6","A10","Aegopodium podagraria",2023,1,27.8824242421053,0.578125,2.3615,0.0043187870899806,210.7857455,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,-0.153790649939922
"7","A10","Cytisus scoparius",2023,1,12.4571451724936,1.20555555555556,80.494895498538,0.0043187870899806,183.191235166667,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,-0.545506736762873
"8","A10","Dianthus barbatus",2022,1,17.146,0.375,1.05666666666667,0.00558149109349745,157.241855333333,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-0.844606325757763
"9","A10","Dryopteris filix-mas",2023,1,24.2,0.75,NA,0.0043187870899806,NA,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,NA
"10","A10","Epilobium hirsutum",2022,1,26.2435548666667,1.02145454545455,0.101333333333333,0.0109799824790114,158.887341333333,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-0.817972662955115
"11","A10","Grimmia pulvinata",2023,1,NA,NA,NA,0.0043187870899806,NA,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,NA
"12","A10","Iris foetidissima",2023,1,10.3181818181818,NA,83.5066666666667,0.0043187870899806,313.8054035,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,1.3086182426307
"13","A10","Malva neglecta",2021,1,23.7,0.3,2.26,0.00612488026844626,119.1655065,"Silwood","Silwood.2021",263.008868448649,126.880615946341,-1.13369060258568
"14","A10","Phacelia tanacetifolia",2021,1,29.616,0.601428571428571,1.66857142857143,0.00612488026844626,119.1655065,"Silwood","Silwood.2021",263.008868448649,126.880615946341,-1.13369060258568
"15","A10","Pilosella officinarum",2023,1,14.4839690928571,0.0206428571428571,0.19,0.0043187870899806,NA,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,NA
"16","A10","Prunella vulgaris",2022,1,29.0513089351181,0.157670307692308,0.963407676470588,0.0212774256934289,157.241855333333,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-0.844606325757763
"17","A10","Rudbeckia fulgida",2021,1,NA,NA,0.5,0.0158579475862891,NA,"Silwood","Silwood.2021",263.008868448649,126.880615946341,NA
"18","A10","Ulex europaeus",2023,1,6.45583426547353,1.18,6.614712,0.0043187870899806,183.1912345,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,-0.545506746226497
"19","A10","Vinca major",2023,1,15.01537,0.293333333333333,19.4088,0.0043187870899806,176.909617166667,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,-0.634677038832131
"20","A10","Vinca minor",2023,1,24.7,0.505,6.13,0.0043187870899806,176.909617166667,"Silwood","Silwood.2023",221.619555551961,70.4451802251502,-0.634677038832131
"21","A2","Beta vulgaris",2022,1,21.9313216711111,1.01364285714286,19.7249405940594,0.0083722366402462,116.6972765,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-1.50085660143461
"22","A2","Prunus padus",2021,1,20.8324271686957,8.14285714285714,106.666274444444,0.0183746408053389,NA,"Silwood","Silwood.2021",263.008868448649,126.880615946341,NA
"23","A2","Rhododendron ponticum",2022,1,6.38461603983751,3,0.2,0.0390807142282091,116.6972765,"Silwood","Silwood.2022",209.423483329602,61.782189411679,-1.50085660143461
