"","Site","Plot","Quadrant","Species","Cover","Year","SLA","Height","SeedMass","Introduced_status","Majortriad","Minortriad","Beta_contrib_major","Beta_contrib_minor","Beta_contrib_plot","Phylo_dist","csMSPD"
"1","Boothby","NW322","1","Vicia faba",100,2022,27.2542857142857,0.6427,855.3375,"Introduced","NW3",2,0.182077993416721,0.499935930291106,NA,265.327885625,0.212413547821245
"2","Boothby","NW322","2","Vicia faba",100,2022,27.2542857142857,0.6427,855.3375,"Introduced","NW3",2,0.182077993416721,0.499935930291106,NA,265.327885625,0.212413547821245
"3","Boothby","NW322","3","Vicia faba",85,2022,27.2542857142857,0.6427,855.3375,"Introduced","NW3",2,0.182077993416721,0.499935930291106,NA,265.327885625,0.212413547821245
"4","Boothby","NW322","4","Vicia faba",95,2022,27.2542857142857,0.6427,855.3375,"Introduced","NW3",2,0.182077993416721,0.499935930291106,NA,265.327885625,0.212413547821245
"5","Boothby","NW311","1","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",1,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"6","Boothby","NW311","2","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",1,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"7","Boothby","NW311","3","Triticum aestivum",95,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",1,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"8","Boothby","NW311","4","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",1,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"9","Boothby","NW333","1","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",3,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"10","Boothby","NW333","1","Geranium lucidum",0.1,2022,27.425,0.203125,0.475,"Native","NW3",3,3.17820099258511e-05,0.000256245991948286,NA,NA,NA
"11","Boothby","NW333","2","Triticum aestivum",90,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",3,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"12","Boothby","NW333","3","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",3,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"13","Boothby","NW333","4","Triticum aestivum",100,2022,22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3",3,0.242188146005383,0.499807823716946,NA,256.935382625,-0.606731477280808
"14","Boothby","NW133","1","Arrhenatherum elatius",10,2022,30.2525991922669,1.04941666666667,2.87263636363636,"Native","NW1",3,0.00807443201326434,0.0457825021749583,NA,256.19037325,-0.67944765303739
"15","Boothby","NW133","1","Phleum pratense",5,2022,23.682393905122,0.312243243243243,0.378785714285714,"Native","NW1",3,0.0305825448559814,0.0300447670523164,NA,256.297319833333,-0.669009198420313
"16","Boothby","NW133","1","Dactylis glomerata",1,2022,25.6180945078378,0.27101383,0.846644654545455,"Native","NW1",3,0.0137354466522471,0.00183130008699833,NA,256.37001775,-0.661913563569451
"17","Boothby","NW133","1","Centaurea nigra",4,2022,25.2104347826087,0.46875,2.43444444444444,"Native","NW1",3,0.00895065126800225,0.0248942355576336,NA,254.901086416667,-0.805287690920553
"18","Boothby","NW133","1","Rubus fruticosus",35,2022,15.78375,1.82875,2.295,"Native","NW1",3,0.0449373060255543,0.264680090698978,NA,273.318993958333,0.992380696632699
