Date,Plot_id,Quadrant,Species,Cover,Notes
21/06/2021,1111,1,Prunus virginiana,25,
21/06/2021,1111,1,Symphoricarpos oreophilus,27,
21/06/2021,1111,1,Lathyrus pauciflorus,4,overhang-3
21/06/2021,1111,1,Chrysothamnus viscidiflorus,23,
21/06/2021,1111,1,Maianthemum stellatum,14,
21/06/2021,1111,1,Achillea millefolium,3,
21/06/2021,1111,1,Isatis tinctoria,0,overhang-3
21/06/2021,1111,1,Erigeron speciosus,4,
21/06/2021,1111,1,Collomia linearis,4,
21/06/2021,1111,1,Nemophila breviflora,5,
21/06/2021,1111,1,Tragopogon dubius,2,
21/06/2021,1111,1,Bromus carinatus,1,
21/06/2021,1111,1,Pseudostellaria jamesiana,0,
21/06/2021,1111,1,Lithophragma parviflora,3,
21/06/2021,1111,1,Poa pratensis,0,
21/06/2021,1111,1,Hackelia floribunda,4,
21/06/2021,1111,1,Bromus briziformis,0.5,
21/06/2021,1111,1,soil,3,
21/06/2021,1111,1,rock,1,
21/06/2021,1111,1,organic matter,6,
21/06/2021,1111,1,Berberis repens,0,
21/06/2021,1111,1,Eriogonum heracleoides,0,
21/06/2021,1111,1,Agastache urticifolia,0,
21/06/2021,1111,1,Galium aparine,0,
21/06/2021,1111,1,Carex sp.,1,
21/06/2021,1111,1,Lactuca serriola,0,
21/06/2021,1111,2,Prunus virginiana,0,overhang-35
21/06/2021,1111,2,Symphoricarpos oreophilus,21,
21/06/2021,1111,2,Lathyrus pauciflorus,10,
21/06/2021,1111,2,Chrysothamnus viscidiflorus,0,overhang-2
21/06/2021,1111,2,Maianthemum stellatum,3,
21/06/2021,1111,2,Achillea millefolium,11,
21/06/2021,1111,2,Isatis tinctoria,0,overhang-2
21/06/2021,1111,2,Erigeron speciosus,3,
21/06/2021,1111,2,Collomia linearis,6,
21/06/2021,1111,2,Nemophila breviflora,3,
21/06/2021,1111,2,Tragopogon dubius,1,
21/06/2021,1111,2,Bromus carinatus,6,
21/06/2021,1111,2,Pseudostellaria jamesiana,3,
21/06/2021,1111,2,Lithophragma parviflora,2,
21/06/2021,1111,2,Poa pratensis,0,
21/06/2021,1111,2,Hackelia floribunda,0,
21/06/2021,1111,2,Bromus briziformis,0,
21/06/2021,1111,2,soil,10,
21/06/2021,1111,2,rock,4,
21/06/2021,1111,2,organic matter,13,
21/06/2021,1111,2,Berberis repens,10,
21/06/2021,1111,2,Eriogonum heracleoides,1,
21/06/2021,1111,2,Agastache urticifolia,0,
21/06/2021,1111,2,Galium aparine,1,
21/06/2021,1111,2,Carex sp.,0,
21/06/2021,1111,2,Lactuca serriola,0,
21/06/2021,1111,3,Prunus virginiana,40,
21/06/2021,1111,3,Symphoricarpos oreophilus,19,
21/06/2021,1111,3,Lathyrus pauciflorus,0,overhang-10
21/06/2021,1111,3,Chrysothamnus viscidiflorus,0,overhang-8
21/06/2021,1111,3,Maianthemum stellatum,0,
21/06/2021,1111,3,Achillea millefolium,13,
21/06/2021,1111,3,Isatis tinctoria,0,
21/06/2021,1111,3,Erigeron speciosus,9,
21/06/2021,1111,3,Collomia linearis,3,
21/06/2021,1111,3,Nemophila breviflora,2,
21/06/2021,1111,3,Tragopogon dubius,0,
21/06/2021,1111,3,Bromus carinatus,5,
21/06/2021,1111,3,Pseudostellaria jamesiana,1,
21/06/2021,1111,3,Lithophragma parviflora,2,
21/06/2021,1111,3,Poa pratensis,0,
21/06/2021,1111,3,Hackelia floribunda,0,
21/06/2021,1111,3,Bromus briziformis,0,
21/06/2021,1111,3,soil,20,
21/06/2021,1111,3,rock,0,
21/06/2021,1111,3,organic matter,25,
21/06/2021,1111,3,Berberis repens,0,
21/06/2021,1111,3,Eriogonum heracleoides,0,
21/06/2021,1111,3,Agastache urticifolia,0,
21/06/2021,1111,3,Galium aparine,8,
21/06/2021,1111,3,Carex sp.,0,
21/06/2021,1111,3,Lactuca serriola,1,
21/06/2021,1111,4,Prunus virginiana,13,
21/06/2021,1111,4,Symphoricarpos oreophilus,6,overhang-10
21/06/2021,1111,4,Lathyrus pauciflorus,15,overhang-45
21/06/2021,1111,4,Chrysothamnus viscidiflorus,4,overhang-10
21/06/2021,1111,4,Maianthemum stellatum,0,
21/06/2021,1111,4,Achillea millefolium,1,
21/06/2021,1111,4,Isatis tinctoria,0,
21/06/2021,1111,4,Erigeron speciosus,3,
21/06/2021,1111,4,Collomia linearis,3,
21/06/2021,1111,4,Nemophila breviflora,1,
21/06/2021,1111,4,Tragopogon dubius,0,
21/06/2021,1111,4,Bromus carinatus,6,
21/06/2021,1111,4,Pseudostellaria jamesiana,2,
21/06/2021,1111,4,Lithophragma parviflora,2,
21/06/2021,1111,4,Poa pratensis,1,
21/06/2021,1111,4,Hackelia floribunda,4,
21/06/2021,1111,4,Bromus briziformis,0,
21/06/2021,1111,4,soil,70,
21/06/2021,1111,4,rock,10,
21/06/2021,1111,4,organic matter,0,
21/06/2021,1111,4,Berberis repens,0,
21/06/2021,1111,4,Eriogonum heracleoides,0,
21/06/2021,1111,4,Agastache urticifolia,12,
21/06/2021,1111,4,Galium aparine,0,overhang-10
21/06/2021,1111,4,Carex sp.,1,
21/06/2021,1111,4,Lactuca serriola,0,
21/06/2021,1133,COMBINED,Symphoricarpos oreophilus,87,
21/06/2021,1133,COMBINED,Geranium viscosissimum,18,
21/06/2021,1133,COMBINED,Lithospermum ruderale,3,
21/06/2021,1133,COMBINED,Tragopogon dubius,11,
21/06/2021,1133,COMBINED,Bromus tectorum,5,
21/06/2021,1133,COMBINED,Bromus japonicus,5,
21/06/2021,1133,COMBINED,Achillea millefolium,3,
21/06/2021,1133,COMBINED,Galium aparine,1,
21/06/2021,1133,COMBINED,Erigeron speciosus,7,
21/06/2021,1133,COMBINED,Hydrophyllum capitatum,0.5,
21/06/2021,1133,COMBINED,rock,2,
21/06/2021,1122,1,Crepis acuminata,11,
21/06/2021,1122,1,Elymus trachycaulus,11,
21/06/2021,1122,1,Tragopogon dubius,0,
21/06/2021,1122,1,Poa bulbosa,32,
21/06/2021,1122,1,Balsamorhiza sagittata,0,
21/06/2021,1122,1,moss,5,
21/06/2021,1122,1,rock,7,
21/06/2021,1122,1,soil,12,
21/06/2021,1122,1,organic matter,15,
21/06/2021,1122,1,Lomatium ambiguum,0.5,
21/06/2021,1122,2,Crepis acuminata,7,
21/06/2021,1122,2,Elymus trachycaulus,8,
21/06/2021,1122,2,Tragopogon dubius,0,
21/06/2021,1122,2,Poa bulbosa,31,
21/06/2021,1122,2,Balsamorhiza sagittata,3,
21/06/2021,1122,2,moss,2,
21/06/2021,1122,2,rock,17,
21/06/2021,1122,2,soil,9,
21/06/2021,1122,2,organic matter,23,
21/06/2021,1122,2,Lomatium ambiguum,0.5,
21/06/2021,1122,3,Crepis acuminata,9,
21/06/2021,1122,3,Elymus trachycaulus,12,
21/06/2021,1122,3,Tragopogon dubius,3,
21/06/2021,1122,3,Poa bulbosa,41,
21/06/2021,1122,3,Balsamorhiza sagittata,0,
21/06/2021,1122,3,moss,5,
21/06/2021,1122,3,rock,13,
21/06/2021,1122,3,soil,5,
21/06/2021,1122,3,organic matter,12,
21/06/2021,1122,3,Lomatium ambiguum,1,
21/06/2021,1122,4,Crepis acuminata,8,
21/06/2021,1122,4,Elymus trachycaulus,0,overhang-1
21/06/2021,1122,4,Tragopogon dubius,0,
21/06/2021,1122,4,Poa bulbosa,57,
21/06/2021,1122,4,Balsamorhiza sagittata,0,
21/06/2021,1122,4,moss,15,
21/06/2021,1122,4,rock,12,
21/06/2021,1122,4,soil,3,
21/06/2021,1122,4,organic matter,5,
