"","Year","Site","Plot","Quadrant","Species","Cover"
"1",2023,"Silwood Park","223",1,"Galium aparine",10
"2",2023,"Silwood Park","223",2,"Galium aparine",5
"3",2023,"Silwood Park","223",3,"Galium aparine",10
"4",2023,"Silwood Park","223",4,"Galium aparine",5
"5",2023,"Silwood Park","223",2,"Rubus fruticosus",75
"6",2023,"Silwood Park","223",3,"Rubus fruticosus",40
"7",2023,"Silwood Park","223",4,"Rubus fruticosus",5
"8",2023,"Silwood Park","223",2,"Acer rubrum",0.5
"9",2023,"Silwood Park","223",4,"Acer rubrum",0.2
"10",2023,"Silwood Park","222",1,"Athyrium filix-femina",30
"11",2023,"Silwood Park","222",2,"Athyrium filix-femina",20
"12",2023,"Silwood Park","222",3,"Athyrium filix-femina",0
"13",2023,"Silwood Park","222",1,"Veronica chamaedrys",15
"14",2023,"Silwood Park","222",2,"Veronica chamaedrys",0.5
"15",2023,"Silwood Park","222",3,"Veronica chamaedrys",20
"16",2023,"Silwood Park","222",1,"Circaea lutetiana",3
"17",2023,"Silwood Park","222",2,"Circaea lutetiana",2
"18",2023,"Silwood Park","222",3,"Circaea lutetiana",12
"19",2023,"Silwood Park","222",1,"Lonicera caerulea",5
"20",2023,"Silwood Park","222",1,"Fraxinus excelsior",2
"21",2023,"Silwood Park","222",1,"Poa Annua",1
"22",2023,"Silwood Park","222",3,"Poa Annua",3
"23",2023,"Silwood Park","222",1,"Brachypodium sylvaticum",7
"24",2023,"Silwood Park","222",2,"Brachypodium sylvaticum",15
"25",2023,"Silwood Park","222",4,"Brachypodium sylvaticum",27
"26",2023,"Silwood Park","222",1,"Ranunculus repens",8
"27",2023,"Silwood Park","222",2,"Ranunculus repens",8
"28",2023,"Silwood Park","222",3,"Ranunculus repens",10
"29",2023,"Silwood Park","222",4,"Ranunculus repens",1
"30",2023,"Silwood Park","222",3,"Prunus cerasus",2
"31",2023,"Silwood Park","222",4,"Lysimachia nummularia",0.5
"32",2023,"Silwood Park","222",4,"Ranunculus sardous",2
"33",2023,"Silwood Park","222",4,"Galium aparine",0.5
"34",2023,"Silwood Park","221",1,"Festuca arundinacea ",85
"35",2023,"Silwood Park","221",2,"Festuca arundinacea ",30
"36",2023,"Silwood Park","221",1,"Veronica chamaedrys",1
"37",2023,"Silwood Park","221",2,"Veronica chamaedrys",4
"38",2023,"Silwood Park","221",3,"Veronica chamaedrys",7
"39",2023,"Silwood Park","221",4,"Veronica chamaedrys",5
"40",2023,"Silwood Park","221",1,"Rumex acetosa",15
"41",2023,"Silwood Park","221",2,"Rumex acetosa",10
"42",2023,"Silwood Park","221",3,"Rumex acetosa",15
"43",2023,"Silwood Park","221",4,"Rumex acetosa",8
"44",2023,"Silwood Park","221",1,"Stellaria graminea",6
"45",2023,"Silwood Park","221",2,"Stellaria graminea",8
"46",2023,"Silwood Park","221",3,"Stellaria graminea",3
"47",2023,"Silwood Park","221",1,"Cirsium arvense",3
"48",2023,"Silwood Park","221",4,"Cirsium arvense",20
"49",2023,"Silwood Park","221",2,"Holcus lanatus",8
"50",2023,"Silwood Park","221",3,"Holcus lanatus",10
"51",2023,"Silwood Park","221",4,"Holcus lanatus",15
"52",2023,"Silwood Park","221",2,"Deschampsia flexuosa",1
"53",2023,"Silwood Park","221",4,"Deschampsia flexuosa",2
"54",2023,"Silwood Park","221",2,"Carex hirta",2.5
"55",2023,"Silwood Park","221",3,"Carex hirta",9
"56",2023,"Silwood Park","221",4,"Carex hirta",40
"57",2023,"Silwood Park","221",2,"Ranunculus repens",0.5
"58",2023,"Silwood Park","221",3,"Ranunculus repens",5
"59",2023,"Silwood Park","221",1,"Agrostis stolonifera",15
"60",2023,"Silwood Park","221",2,"Agrostis stolonifera",35
"61",2023,"Silwood Park","221",3,"Agrostis stolonifera",7
"62",2023,"Silwood Park","221",4,"Agrostis stolonifera",8
"63",2023,"Silwood Park","221",3,"Festuca rubra",30
"64",2023,"Silwood Park","221",4,"Festuca rubra",2
"65",2023,"Silwood Park","221",3,"Trifolium dubium",3
"66",2023,"Silwood Park","221",4,"Trifolium dubium",2
"67",2023,"Silwood Park","221",4,"Stellaria graminea",7
"68",2023,"Silwood Park","212",1,"Hyacinthoides non-scripta",12
"69",2023,"Silwood Park","212",2,"Hyacinthoides non-scripta",60
"70",2023,"Silwood Park","212",3,"Hyacinthoides non-scripta",10
"71",2023,"Silwood Park","212",4,"Hyacinthoides non-scripta",2
"72",2023,"Silwood Park","212",1,"Rubus fruticosus",5
"73",2023,"Silwood Park","212",1,"Prunus cerasus",0.5
"74",2023,"Silwood Park","211",1,"Brachypodium sylvaticum",30
"75",2023,"Silwood Park","211",2,"Brachypodium sylvaticum",40
"76",2023,"Silwood Park","211",3,"Brachypodium sylvaticum",20
"77",2023,"Silwood Park","211",4,"Brachypodium sylvaticum",20
"78",2023,"Silwood Park","211",1,"Corylus avellana",1.5
"79",2023,"Silwood Park","211",2,"Quercus robur",1
"80",2023,"Silwood Park","211",3,"Agrostis stolonifera",3
"81",2023,"Silwood Park","211",3,"Rubus fruticosus",1
"82",2023,"Silwood Park","211",3,"Acer pseudoplatanus",0.5
"83",2023,"Silwood Park","233",1,"Hyacinthoides non-scripta",40
"84",2023,"Silwood Park","233",2,"Hyacinthoides non-scripta",30
"85",2023,"Silwood Park","233",3,"Hyacinthoides non-scripta",20
"86",2023,"Silwood Park","233",4,"Hyacinthoides non-scripta",25
"87",2023,"Silwood Park","233",1,"Rubus fruticosus",40
"88",2023,"Silwood Park","233",2,"Rubus fruticosus",95
"89",2023,"Silwood Park","233",3,"Rubus fruticosus",70
"90",2023,"Silwood Park","233",4,"Rubus fruticosus",60
"91",2023,"Silwood Park","233",1,"Sanguisorba minor",3
"92",2023,"Silwood Park","233",2,"Galium aparine",1
"93",2023,"Silwood Park","233",3,"Galium aparine",1.5
"94",2023,"Silwood Park","233",4,"Galium aparine",5
"95",2023,"Silwood Park","232",1,"Rubus fruticosus",30
"96",2023,"Silwood Park","232",2,"Rubus fruticosus",40
"97",2023,"Silwood Park","232",3,"Rubus fruticosus",15
"98",2023,"Silwood Park","232",4,"Rubus fruticosus",85
"99",2023,"Silwood Park","232",1,"Hyacinthoides non-scripta",20
"100",2023,"Silwood Park","232",2,"Hyacinthoides non-scripta",50
"101",2023,"Silwood Park","232",3,"Hyacinthoides non-scripta",30
"102",2023,"Silwood Park","232",4,"Hyacinthoides non-scripta",20
"103",2023,"Silwood Park","232",2,"Galium aparine",0.5
"104",2023,"Silwood Park","231",1,"Rumex acetosa",8
"105",2023,"Silwood Park","231",2,"Rumex acetosa",10
"106",2023,"Silwood Park","231",3,"Rumex acetosa",15
"107",2023,"Silwood Park","231",4,"Rumex acetosa",20
"108",2023,"Silwood Park","231",1,"Veronica chamaedrys",8
"109",2023,"Silwood Park","231",2,"Veronica chamaedrys",8
"110",2023,"Silwood Park","231",3,"Veronica chamaedrys",15
"111",2023,"Silwood Park","231",4,"Veronica chamaedrys",12
"112",2023,"Silwood Park","231",2,"Rubus fruticosus",15
"113",2023,"Silwood Park","231",3,"Rubus fruticosus",25
"114",2023,"Silwood Park","231",4,"Rubus fruticosus",20
"115",2023,"Silwood Park","231",1,"Hypericum perforatum",5
"116",2023,"Silwood Park","231",2,"Hypericum perforatum",3
"117",2023,"Silwood Park","231",4,"Hypericum perforatum",0.5
"118",2023,"Silwood Park","231",1,"Brachypodium sylvaticum",80
"119",2023,"Silwood Park","231",2,"Brachypodium sylvaticum",20
"120",2023,"Silwood Park","231",3,"Brachypodium sylvaticum",10
"121",2023,"Silwood Park","231",4,"Brachypodium sylvaticum",12
"122",2023,"Silwood Park","231",1,"Holcus lanatus",5
"123",2023,"Silwood Park","231",3,"Holcus lanatus",0.5
"124",2023,"Silwood Park","231",4,"Holcus lanatus",0.5
"125",2023,"Silwood Park","231",1,"Achillea millefolium",0.5
"126",2023,"Silwood Park","231",2,"Achillea millefolium",7
"127",2023,"Silwood Park","231",3,"Achillea millefolium",2
"128",2023,"Silwood Park","231",4,"Achillea millefolium",5
"129",2023,"Silwood Park","231",2,"Poa Annua",0.5
"130",2023,"Silwood Park","231",1,"Vicia parviflora",0.5
"131",2023,"Silwood Park","231",2,"Vicia parviflora",0.5
"132",2023,"Silwood Park","231",2,"Jacobaea vulgaris",12
"133",2023,"Silwood Park","231",3,"Jacobaea vulgaris",6
"134",2023,"Silwood Park","231",1,"Agrostis stolonifera",20
"135",2023,"Silwood Park","231",2,"Agrostis stolonifera",10
"136",2023,"Silwood Park","231",3,"Agrostis stolonifera",20
"137",2023,"Silwood Park","231",4,"Agrostis stolonifera",50
"138",2023,"Silwood Park","213",1,"Stellaria graminea",5
"139",2023,"Silwood Park","213",2,"Stellaria graminea",3
"140",2023,"Silwood Park","213",3,"Stellaria graminea",4
"141",2023,"Silwood Park","213",4,"Stellaria graminea",8
"142",2023,"Silwood Park","213",1,"Rumex acetosa",22
"143",2023,"Silwood Park","213",2,"Rumex acetosa",22
"144",2023,"Silwood Park","213",3,"Rumex acetosa",0.5
"145",2023,"Silwood Park","213",4,"Rumex acetosa",2
"146",2023,"Silwood Park","213",1,"Agrostis stolonifera",75
"147",2023,"Silwood Park","213",2,"Agrostis stolonifera",30
"148",2023,"Silwood Park","213",3,"Agrostis stolonifera",10
"149",2023,"Silwood Park","213",4,"Agrostis stolonifera",90
"150",2023,"Silwood Park","213",1,"Luzula Campestris",5
"151",2023,"Silwood Park","213",2,"Luzula Campestris",10
"152",2023,"Silwood Park","213",3,"Luzula Campestris",3
"153",2023,"Silwood Park","213",4,"Luzula Campestris",6
"154",2023,"Silwood Park","213",1,"Veronica chamaedrys",15
"155",2023,"Silwood Park","213",2,"Veronica chamaedrys",5
"156",2023,"Silwood Park","213",3,"Veronica chamaedrys",2
"157",2023,"Silwood Park","213",4,"Veronica chamaedrys",3
"158",2023,"Silwood Park","213",1,"Veronica agrestis",8
"159",2023,"Silwood Park","213",2,"Veronica agrestis",3
"160",2023,"Silwood Park","213",3,"Veronica agrestis",40
"161",2023,"Silwood Park","213",4,"Veronica agrestis",10
"162",2023,"Silwood Park","213",1,"Poa Annua",2
"163",2023,"Silwood Park","213",2,"Poa Annua",0.5
"164",2023,"Silwood Park","213",3,"Poa Annua",0.5
"165",2023,"Silwood Park","213",4,"Poa Annua",3
"166",2023,"Silwood Park","213",3,"Jacobaea vulgaris",18
"167",2023,"Silwood Park","213",3,"Holcus lanatus",10
"168",2023,"Silwood Park","213",4,"Holcus lanatus",1
"169",2023,"Silwood Park","213",1,"Veronica arvensis",10
"170",2023,"Silwood Park","213",3,"Veronica arvensis",15
"171",2023,"Silwood Park","B",1,"Athyrium filix-femina",45
"172",2023,"Silwood Park","B",2,"Athyrium filix-femina",30
"173",2023,"Silwood Park","B",3,"Athyrium filix-femina",5
"174",2023,"Silwood Park","B",4,"Athyrium filix-femina",15
"175",2023,"Silwood Park","B",1,"Rumex acetosa",20
"176",2023,"Silwood Park","B",2,"Rumex acetosa",10
"177",2023,"Silwood Park","B",3,"Rumex acetosa",15
"178",2023,"Silwood Park","B",4,"Rumex acetosa",10
"179",2023,"Silwood Park","B",1,"Stellaria graminea",2
"180",2023,"Silwood Park","B",2,"Stellaria graminea",2
"181",2023,"Silwood Park","B",3,"Stellaria graminea",2
"182",2023,"Silwood Park","B",4,"Stellaria graminea",12
"183",2023,"Silwood Park","B",2,"Veronica agrestis",4
"184",2023,"Silwood Park","B",3,"Veronica agrestis",10
"185",2023,"Silwood Park","B",4,"Veronica agrestis",5
"186",2023,"Silwood Park","B",1,"Agrostis stolonifera",20
"187",2023,"Silwood Park","B",2,"Agrostis stolonifera",10
"188",2023,"Silwood Park","B",3,"Agrostis stolonifera",10
"189",2023,"Silwood Park","B",4,"Agrostis stolonifera",20
"190",2023,"Silwood Park","B",1,"Pilosella officinarum",0.3
"191",2023,"Silwood Park","B",2,"Pilosella officinarum",0.2
"192",2023,"Silwood Park","B",1,"Festuca rubra",30
"193",2023,"Silwood Park","B",2,"Festuca rubra",5
"194",2023,"Silwood Park","B",3,"Festuca rubra",20
"195",2023,"Silwood Park","B",4,"Festuca rubra",20
"196",2023,"Silwood Park","B",1,"Festuca pratensis",15
"197",2023,"Silwood Park","B",2,"Festuca pratensis",2
"198",2023,"Silwood Park","B",3,"Festuca pratensis",3
"199",2023,"Silwood Park","B",3,"Hypericum perforatum",3
"200",2023,"Silwood Park","B",3,"Holcus lanatus",1
"201",2023,"Silwood Park","B",4,"Ranunculus repens",2
"202",2023,"Silwood Park","C",1,"Rubus fruticosus",2
"203",2023,"Silwood Park","C",2,"Rubus fruticosus",8
"204",2023,"Silwood Park","C",2,"Festuca pratensis",12
"205",2023,"Silwood Park","D",3,"Athyrium filix-femina",40
"206",2023,"Silwood Park","D",4,"Athyrium filix-femina",30
"207",2023,"Silwood Park","321",1,"Impatiens parviflora",10
"208",2023,"Silwood Park","321",2,"Impatiens parviflora",5
"209",2023,"Silwood Park","321",3,"Impatiens parviflora",15
"210",2023,"Silwood Park","323",1,"Poa trivialis",60
"211",2023,"Silwood Park","323",1,"Hydrocotyle sibthorpioides",1
"212",2023,"Silwood Park","323",1,"Veronica agrestis",2
"213",2023,"Silwood Park","323",1,"Rumex acetosa",2
"214",2023,"Silwood Park","323",2,"Poa trivialis",95
"215",2023,"Silwood Park","323",2,"Hydrocotyle sibthorpioides",1
"216",2023,"Silwood Park","323",2,"Veronica agrestis",5
"217",2023,"Silwood Park","323",2,"Anthoxanthum odoratum",0.5
"218",2023,"Silwood Park","323",3,"Poa trivialis",95
"219",2023,"Silwood Park","323",3,"Rumex acetosa",2
"220",2023,"Silwood Park","323",4,"Poa trivialis",92
"221",2023,"Silwood Park","323",4,"Veronica agrestis",5
"222",2023,"Silwood Park","323",4,"Acer tataricum",1
"223",2023,"Silwood Park","323",4,"Taraxacum officinale",3
"224",2023,"Silwood Park","333",1,"Holcus lanatus",40
"225",2023,"Silwood Park","333",1,"Anthoxanthum odoratum",60
"226",2023,"Silwood Park","333",1,"Rubus fruticosus",10
"227",2023,"Silwood Park","333",1,"Galium aparine",3
"228",2023,"Silwood Park","333",2,"Holcus lanatus",70
"229",2023,"Silwood Park","333",2,"Anthoxanthum odoratum",30
