Species,Site,Introduced_status
Triticum aestivum,Boothby,Introduced
Geranium lucidum,Boothby,Native
Abies alba,Reinischkogel,Native
Phleum pratense,Boothby,Native
Dactylis glomerata,Boothby,Native
Centaurea nigra,Boothby,Native
Acer glabrum,rhf,Native
Vicia tetrasperma,Boothby,Native
Lotus corniculatus,Boothby,Native
Acer negundo,uk,Introduced
Acer pensylvanicum,uk,Introduced
Acer saccharinum,uk,Introduced
Cynosurus cristatus,Boothby,Native
Aconitum napellus,uk,Introduced
Aesculus glabra,uk,Introduced
Aethusa cynapium,uk,Native
Agoseris heterophylla,rhf,Native
Glechoma hederacea,Boothby,Native
Urtica dioica,Boothby,Native
Agropyron cristatum,rhf,Introduced
Agrostis capillaris,uk,Native
Agrostis capillaris,uk,Native
Veronica chamaedrys,Boothby,Native
Lamium album,Boothby,Introduced
Mercurialis perennis,Boothby,Native
Agrostis capillaris,uk,Native
Agrostis stolonifera,uk,Native
Ranunculus repens,Boothby,Native
Agrostis stolonifera,uk,Native
Alnus rubra,uk,Introduced
Prunella vulgaris,Boothby,Native
Amelanchier alnifolia,rhf,Native
Aphanes arvensis,uk,Native
Acer campestre,Boothby,Native
Cirsium arvense,Boothby,Native
Senecio vulgaris,Boothby,Native
Arbutus unedo,uk,Introduced
Arctium minus,rhf,Introduced
Arenaria serpyllifolia,rhf,Introduced
Arrhenatherum elatius,uk,Native
Galium aparine,Boothby,Native
Holcus lanatus,Boothby,Native
Quercus robur,Boothby,Native
Carpinus betulus,Boothby,Native
Geum urbanum,Boothby,Native
Arrhenatherum elatius,uk,Native
Arrhenatherum elatius,Reinischkogel,Native
Convolvulus arvensis,Boothby,Native
Taraxacum officinale,Boothby,Native
Trifolium repens,Boothby,Native
Arrhenatherum elatius,uk,Native
Geranium dissectum,Boothby,Introduced
Rumex crispus,Boothby,Native
Artemisia tridentata,rhf,Native
Asclepias tuberosa,uk,Introduced
Prunus padus,Boothby,Native
Crataegus monogyna,Boothby,Native
Atriplex patula,uk,Native
Atriplex patula,Ordu_urban,Native
Atropa belladonna,uk,Native
Epilobium parviflorum,Boothby,Native
Cirsium vulgare,Boothby,Native
Atropa belladonna,uk,Native
Anthriscus sylvestris,Boothby,Native
Avena barbata,Enez forest,Native
Leucanthemum vulgare,Boothby,Native
Torilis japonica,Boothby,Native
Betula papyrifera,uk,Introduced
Betula populifolia,uk,Introduced
Prunus spinosa,Boothby,Native
Betula pubescens,uk,Native
Primula veris,Boothby,Native
Bidens connata,uk,Introduced
Brachypodium sylvaticum,uk,Native
Brachypodium sylvaticum,uk,Native
Alopecurus pratensis,Boothby,Native
Brassica napus,uk,Introduced
Briza media,Enez forest,Native
Rumex acetosa,Boothby,Native
Bromus carinatus,rhf,Introduced
Capsella bursa-pastoris,Boothby,Introduced
Bromus hordeaceus,uk,Native
Vicia sativa,Boothby,Introduced
Phragmites australis,Boothby,Native
Bromus hordeaceus,Enez forest,Native
Fraxinus excelsior,Boothby,Native
Stellaria media,Boothby,Native
Bromus hordeaceus,uk,Native
Plantago major,Boothby,Native
Bromus inermis,rhf,Introduced
Fagus sylvatica,Boothby,Native
Bromus japonicus,rhf,Introduced
Bromus ramosus,uk,Native
Hedera helix,Boothby,Native
Bromus tectorum,rhf,Introduced
Lonicera periclymenum,Boothby,Native
Geranium robertianum,Boothby,Native
Calamagrostis epigejos,Reinischkogel,Native
Angelica sylvestris,Boothby,Native
Urtica dioica,Budworth,Native
Galium aparine,Budworth,Native
Corylus avellana,Budworth,Native
Taraxacum officinale,Budworth,Native
Calystegia sepium,uk,Native
Calluna vulgaris,Budworth,Native
Ilex aquifolium,Budworth,Native
Sorbus aucuparia,Budworth,Native
Hedera helix,Budworth,Native
Campanula patula,Reinischkogel,Native
Trifolium arvense,Enez forest,Native
Campanula rapunculoides,Reinischkogel,Native
Cardamine flexuosa,uk,Native
Carex brizoides,Reinischkogel,Native
Carex canescens,uk,Native
Carex flacca,uk,Native
Carex flacca,uk,Native
Trifolium repens,Knepp,Native
Holcus lanatus,Knepp,Native
Carex hirta,uk,Native
Carex muricata,uk,Native
Carex remota,uk,Native
Stellaria graminea,Knepp,Native
Geranium dissectum,Knepp,Introduced
Vicia sativa,Knepp,Introduced
Taraxacum officinale,Knepp,Native
Carex remota,uk,Native
Cirsium arvense,Knepp,Native
Ranunculus repens,Knepp,Native
Rumex acetosa,Knepp,Native
Rumex crispus,Knepp,Native
Trifolium dubium,Knepp,Native
Carex sylvatica,uk,Native
Carex sylvatica,Reinischkogel,Native
Cardamine pratensis,Knepp,Native
Galium palustre,Knepp,Native
Lycopus europaeus,Knepp,Native
Lathyrus nissolia,Knepp,Native
Castanea dentata,uk,Introduced
Centaurea scabiosa,uk,Native
Quercus robur,Knepp,Native
Prunella vulgaris,Knepp,Native
Cerastium arvense,uk,Native
Dactylis glomerata,Knepp,Native
Alopecurus pratensis,Knepp,Native
Cerastium fontanum,uk,Native
Cerastium fontanum,uk,Native
Chaerophyllum temulum,uk,Native
Juncus inflexus,Knepp,Native
Lotus pedunculatus,Knepp,Native
Carpinus betulus,Knepp,Native
Phleum pratense,Knepp,Native
Potentilla reptans,Knepp,Native
Chenopodium album,uk,Native
Cirsium dissectum,uk,Native
Ranunculus acris,Knepp,Native
Cirsium dissectum,uk,Native
Claytonia perfoliata,rhf,Native
Mentha aquatica,Knepp,Native
Urtica dioica,Knepp,Native
Oenanthe crocata,Knepp,Native
Epilobium parviflorum,Knepp,Native
Plantago major,Knepp,Native
Veronica arvensis,Knepp,Native
Epilobium tetragonum,Knepp,Native
Conyza canadensis,Ordu_urban,Introduced
Cornus sericea,rhf,Native
Corylus avellana,Knepp,Native
Crataegus monogyna,Knepp,Native
Cotoneaster integerrimus,uk,Introduced
Circaea lutetiana,Knepp,Native
Geum urbanum,Knepp,Native
Centaurea nigra,Knepp,Native
Crepis capillaris,uk,Native
Crepis capillaris,uk,Native
Veronica chamaedrys,Knepp,Native
Viola riviniana,Knepp,Native
Crepis paludosa,uk,Native
Crepis vesicaria,uk,Introduced
Vicia tetrasperma,Knepp,Native
Cucurbita pepo,uk,Introduced
Veronica serpyllifolia,Knepp,Native
Cynoglossum officinale,rhf,Introduced
Fraxinus excelsior,Knepp,Native
Cynosurus echinatus,Enez forest,Native
Galium aparine,Knepp,Native
Delphinium nuttallianum,rhf,Native
Geranium robertianum,Knepp,Native
Glechoma hederacea,Knepp,Native
Juncus conglomeratus,Knepp,Native
Plantago lanceolata,Knepp,Native
Deschampsia cespitosa,uk,Native
Deschampsia cespitosa,uk,Native
Cardamine hirsuta,Knepp,Native
Hedera helix,Knepp,Native
Deschampsia flexuosa,uk,Native
Deschampsia flexuosa,uk,Native
Digitalis grandiflora,uk,Introduced
Cynosurus cristatus,Knepp,Native
Digitaria sanguinalis,Ordu_urban,Native
Elaeagnus angustifolia,uk,Introduced
Elymus glaucus,rhf,Native
Agrimonia eupatoria,Knepp,Native
Elymus repens,uk,Native
Elymus repens,uk,Native
Hyacinthoides non-scripta,Knepp,Native
Acer pseudoplatanus,Knepp,Introduced
Lonicera periclymenum,Knepp,Native
Epilobium angustifolium,uk,Native
Lathyrus pratensis,Knepp,Native
Epilobium angustifolium,rhf,Native
Epilobium ciliatum,uk,Introduced
Vinca major,Knepp,Introduced
Primula vulgaris,Knepp,Native
Epilobium ciliatum,uk,Introduced
Lotus corniculatus,Knepp,Native
Epilobium montanum,uk,Native
Acer campestre,Knepp,Native
Arum maculatum,Knepp,Native
Epilobium palustre,uk,Native
Leucanthemum vulgare,Knepp,Native
Prunus padus,Knepp,Native
Eruca vesicaria,uk,Introduced
Vicia sepium,Knepp,Native
Stellaria media,Knepp,Native
Prunus spinosa,Knepp,Native
Mercurialis perennis,Knepp,Native
Alliaria petiolata,Knepp,Native
Lapsana communis,Knepp,Native
Fallopia convolvulus,uk,Introduced
Prunus avium,Knepp,Native
Convolvulus arvensis,Knepp,Native
Iris pseudacorus,Knepp,Native
Festuca pratensis,uk,Native
Festuca rubra,uk,Native
Festuca rubra,uk,Native
Fragaria vesca,Reinischkogel,Native
Betula pendula,Knepp,Native
Fragaria vesca,rhf,Native
Fragaria virginiana,rhf,Native
Fraxinus americana,uk,Introduced
Anthoxanthum odoratum,Knepp,Native
Fraxinus ornus,uk,Introduced
Fumaria officinalis,uk,Introduced
Galium boreale,rhf,Native
Garrya elliptica,uk,Introduced
Corylus avellana,Ordu_urban,Native
Gentianella uliginosa,uk,Introduced
Geranium columbinum,uk,Native
Geranium columbinum,uk,Native
Artemisia vulgaris,Ordu_urban,Introduced
Geranium molle,uk,Native
Goodyera oblongifolia,rhf,Native
Hamamelis virginiana,uk,Introduced
Urtica dioica,Ordu_urban,Native
Daucus carota,Ordu_urban,Native
Vicia sativa,Ordu_urban,Introduced
Trifolium pratense,Ordu_urban,Native
Helianthus giganteus,uk,Introduced
Solanum nigrum,Ordu_urban,Native
Hieracium murorum,Reinischkogel,Native
Hordeum murinum,uk,Native
Hordeum murinum,uk,Native
Hordeum vulgare,uk,Introduced
Hypericum perforatum,uk,Native
Hypericum perforatum,Reinischkogel,Native
Oxalis acetosella,Reinischkogel,Native
Hypericum tetrapterum,uk,Native
Sorbus aucuparia,Reinischkogel,Native
Hypericum tetrapterum,uk,Native
Hedera helix,Reinischkogel,Native
Acer pseudoplatanus,Reinischkogel,Introduced
Hypochaeris radicata,uk,Native
Achillea millefolium,Reinischkogel,Native
Rubus idaeus,Reinischkogel,Native
Aegopodium podagraria,Reinischkogel,Introduced
Anthriscus sylvestris,Reinischkogel,Native
Iris sibirica,uk,Introduced
Vicia sepium,Reinischkogel,Native
Dactylis glomerata,Reinischkogel,Native
Isatis tinctoria,rhf,Introduced
Trifolium pratense,Reinischkogel,Native
Juncus effusus,uk,Native
Plantago lanceolata,Reinischkogel,Native
Prunella vulgaris,Reinischkogel,Native
Juncus effusus,uk,Native
Juncus tenuis,uk,Introduced
Juniperus osteosperma,rhf,Native
Koeleria macrantha,rhf,Native
Lactuca serriola,Reinischkogel,Native
Lactuca serriola,rhf,Introduced
Tussilago farfara,Reinischkogel,Native
Trifolium repens,Reinischkogel,Native
Lathyrus latifolius,uk,Introduced
Plantago major,Reinischkogel,Native
Lathyrus odoratus,uk,Introduced
Leontodon hispidus,uk,Native
Leontodon hispidus,Reinischkogel,Introduced
Lepidium sativum,uk,Introduced
Stellaria media,rhf,Native
Linum perenne,uk,Introduced
Liquidambar styraciflua,uk,Introduced
Lolium multiflorum,uk,Introduced
Lolium perenne,uk,Native
Lolium perenne,uk,Native
Lolium perenne,Ordu_urban,Native
Achillea millefolium,rhf,Native
Verbascum thapsus,rhf,Native
Taraxacum officinale,rhf,Native
Luzula campestris,uk,Native
Magnolia grandiflora,uk,Introduced
Galium aparine,rhf,Native
Maianthemum bifolium,Reinischkogel,Native
Maianthemum racemosum,rhf,Native
Malus sylvestris,uk,Native
Melampyrum pratense,Reinischkogel,Native
Mentha arvensis,uk,Native
Cirsium arvense,rhf,Native
Mentha arvensis,rhf,Introduced
Milium effusum,Reinischkogel,Native
Myosotis arvensis,uk,Native
Myosotis laxa,uk,Native
Erodium cicutarium,rhf,Native
Myosotis scorpioides,uk,Native
Myosotis scorpioides,rhf,Introduced
Nasturtium officinale,uk,Native
Oenanthe fistulosa,uk,Native
Oenanthe lachenalii,uk,Native
Oxalis corniculata,Ordu_urban,Introduced
Picea abies,uk,Introduced
Picea abies,Reinischkogel,Native
Picris echioides,uk,Native
Pinus flexilis,rhf,Native
Platanus occidentalis,uk,Introduced
Humulus lupulus,rhf,Native
Poa annua,uk,Native
Poa annua,uk,Native
Poa bulbosa,rhf,Introduced
Poa compressa,uk,Native
Poa nemoralis,uk,Native
Poa nemoralis,uk,Native
Poa nemoralis,Reinischkogel,Native
Poa pratensis,uk,Native
Poa pratensis,uk,Native
Poa pratensis,Reinischkogel,Native
Poa pratensis,rhf,Native
Poa pratensis,uk,Native
Poa secunda,rhf,Native
Galium aparine,Silwood Park,Native
Rumex acetosa,Silwood Park,Native
Achillea millefolium,Silwood Park,Native
Rumex acetosella,Silwood Park,Native
Veronica chamaedrys,Silwood Park,Native
Stellaria graminea,Silwood Park,Native
Urtica dioica,Silwood Park,Native
Poa trivialis,uk,Native
Poa trivialis,Enez forest,Native
Myosotis sylvatica,Silwood Park,Native
Poa trivialis,uk,Native
Polygonum aviculare,uk,Native
Fraxinus excelsior,Silwood Park,Native
Populus tremuloides,rhf,Native
Alnus glutinosa,Silwood Park,Native
Impatiens glandulifera,Silwood Park,Introduced
Acer pseudoplatanus,Silwood Park,Introduced
Hyacinthoides non-scripta,Silwood Park,Native
Taxus baccata,Silwood Park,Native
Populus tremuloides,uk,Introduced
Holcus lanatus,Silwood Park,Native
Potentilla anserina,uk,Native
Potentilla recta,uk,Introduced
Potentilla sterilis,uk,Native
Ranunculus repens,Silwood Park,Native
Digitalis purpurea,Silwood Park,Native
Lonicera periclymenum,Silwood Park,Native
Quercus robur,Silwood Park,Native
Glechoma hederacea,Silwood Park,Native
Dactylis glomerata,Silwood Park,Native
Potentilla sterilis,uk,Native
Prunella grandiflora,uk,Introduced
Prunus virginiana,rhf,Native
Anthoxanthum odoratum,Silwood Park,Native
Fagus sylvatica,Silwood Park,Native
Prunus padus,Silwood Park,Native
Ilex aquifolium,Silwood Park,Native
Cirsium arvense,Silwood Park,Native
Pseudotsuga menziesii,rhf,Native
Vicia sativa,Silwood Park,Introduced
Angelica sylvestris,Silwood Park,Native
Quercus petraea,uk,Native
Raphanus sativus,uk,Introduced
Trifolium repens,Silwood Park,Native
Betula pendula,Silwood Park,Native
Lotus corniculatus,Silwood Park,Native
Rorippa sylvestris,uk,Native
Juncus conglomeratus,Silwood Park,Native
Rosa canina,uk,Native
Lotus pedunculatus,Silwood Park,Native
Allium ursinum,uk,Native
Cotoneaster franchetii,uk,Introduced
Epilobium hirsutum,uk,Native
Tellima grandiflora,uk,Introduced
Viburnum tinus,uk,Introduced
Linaria purpurea,uk,Introduced
Trifolium incarnatum,uk,Native
Aesculus hippocastanum,uk,Introduced
Cardamine pratensis,uk,Native
Carpinus betulus,uk,Native
Glechoma hederacea,uk,Native
Galium odoratum,uk,Native
Thuja plicata,uk,Introduced
Adoxa moschatellina,uk,Native
Alliaria petiolata,uk,Native
Anemone nemorosa,uk,Native
Carex pendula,uk,Native
Euphorbia amygdaloides,uk,Native
Hyacinthoides non-scripta,uk,Native
Lamium purpureum,uk,Native
Bellis perennis,uk,Native
Ajuga reptans,uk,Native
Caltha palustris,uk,Native
Dioscorea communis,uk,Native
Stellaria graminea,uk,Native
Solanum dulcamara,uk,Native
Ligustrum vulgare,uk,Native
Plantago lanceolata,uk,Native
Convolvulus arvensis,uk,Native
Euonymus europaeus,uk,Native
Mercurialis perennis,uk,Native
Agrimonia eupatoria,uk,Native
Arum maculatum,uk,Native
Prunus spinosa,uk,Native
Pulicaria vulgaris,uk,Native
Mentha aquatica,uk,Native
Stachys palustris,uk,Native
Lapsana communis,uk,Native
Lathyrus nissolia,uk,Native
Veronica beccabunga,uk,Native
Centaurium erythraea,uk,Native
Cirsium vulgare,uk,Native
Dactylis glomerata,uk,Native
Digitalis purpurea,uk,Native
Dipsacus fullonum,uk,Native
Geranium dissectum,uk,Introduced
Iris pseudacorus,uk,Native
Juncus conglomeratus,uk,Native
Juncus inflexus,uk,Native
Kickxia elatine,uk,Introduced
Lycopus europaeus,uk,Native
Pinus sylvestris,uk,Native
Primula vulgaris,uk,Native
Scrophularia nodosa,uk,Native
Viola odorata,uk,Native
Artemisia vulgaris,uk,Introduced
Carex remota,uk,Native
Centaurea nigra,uk,Native
Cirsium palustre,uk,Native
Datura stramonium,uk,Introduced
Daucus carota,uk,Native
Echium vulgare,uk,Native
Fraxinus excelsior,uk,Native
Galium verum,uk,Native
Heracleum sphondylium,uk,Native
Hypericum perforatum,uk,Native
Juncus effusus,uk,Native
Knautia arvensis,uk,Native
Lamium album,uk,Introduced
Linaria vulgaris,uk,Native
Lythrum salicaria,uk,Native
Medicago arabica,uk,Native
Medicago lupulina,uk,Native
Melilotus officinalis,uk,Introduced
Oenanthe crocata,uk,Native
Persicaria maculosa,uk,Native
Potentilla reptans,uk,Native
Primula veris,uk,Native
Prunella vulgaris,uk,Native
Quercus robur,uk,Native
Scirpus sylvaticus,uk,Native
Silene dioica,uk,Native
Stachys sylvatica,uk,Native
Teucrium scorodonia,uk,Native
Typha angustifolia,uk,Native
Typha latifolia,uk,Native
Ulmus glabra,uk,Native
Veronica serpyllifolia,uk,Native
Vicia cracca,uk,Native
Cirsium arvense,uk,Native
Humulus lupulus,uk,Native
Myosotis discolor,uk,Native
Solanum nigrum,uk,Native
Veronica persica,uk,Introduced
Prunus laurocerasus,uk,Introduced
Trifolium dubium,uk,Native
Trifolium repens,uk,Native
Veronica chamaedrys,uk,Native
Acer campestre,uk,Native
Corylus avellana,uk,Native
Geranium robertianum,uk,Native
Lilium martagon,uk,Introduced
Lotus pedunculatus,uk,Native
Filipendula ulmaria,uk,Native
Lysimachia vulgaris,uk,Native
Rumex obtusifolius,uk,Native
Sparganium erectum,uk,Native
Achillea millefolium,uk,Native
Ilex aquifolium,uk,Native
Rumex sanguineus,uk,Native
Taraxacum officinale,uk,Native
Vicia sativa,uk,Introduced
Geum urbanum,uk,Native
Origanum vulgare,uk,Native
Hypericum calycinum,uk,Introduced
Vicia sepium,uk,Native
Symphytum officinale,uk,Native
Epilobium parviflorum,uk,Native
