"","plot","species","year","abundance","SLA","Height","Seed_mass","beta_contrib"
"1","A2","Acer pseudoplatanus",2024,1,14.6957418110658,16.100989010989,93.3927255384615,0.00362216514904225
"2","A2","Aesculus hippocastanum",2024,1,10.960002739726,23.8,13737.6212314286,0.011356615460285
"3","A2","Chrysosplenium oppositifolium",2024,1,23.35,0.1,0.06,0.00239493415867404
"4","A2","Corylus avellana",2024,1,19.4326653124865,4.14457575757576,1096.23131416667,0.00934888593265385
"5","A2","Epilobium hirsutum",2020,1,26.2435548666667,1.02145454545455,0.101333333333333,0.0189135297246327
"6","A2","Geum urbanum",2024,1,36.0021288313636,0.352272727272727,1.75013333333333,0.00317432332971591
"7","A2","Hordeum vulgare",2022,1,32.5690666666667,0.655354444444444,44.3186666666667,0.00113987163292817
"8","A2","Hyacinthoides non-scripta",2024,1,21.2333333333333,0.2175,5.76375,0.00478848433227427
"9","A2","Ranunculus repens",2024,1,23.6490374169643,0.253909090909091,2.3,0.00226131721407231
"10","A2","Triticum aestivum",2021,1,22.7166666666667,1.05454545454545,37.0176923076923,0.00139948665013561
"11","A2","Veronica montana",2024,1,36.8353,0.247222222222222,0.38,0.00147396489075581
"12","A3","Allium ursinum",2022,1,37.25,0.31875,5.31833333333333,0.00402967182251052
"13","A3","Arum maculatum",2023,1,33.26,0.259166666666667,119.706,0.00142353318755152
"14","A3","Asplenium scolopendrium",2023,1,17.6333333333333,0.325,NA,0.001299192692891
"15","A3","Bidens connata",2020,1,55.152,0.74375,2.741,0.000783661747638109
"16","A3","Caltha palustris",2020,1,40.0352288608696,0.2625,1.1025,0.002904883215112
"17","A3","Cardamine amara",2021,1,43.95,0.275,NA,0.000783661747638109
"18","A3","Circaea lutetiana",2021,1,36.7,0.3775,2.68014285714286,0.00296871830661071
"19","A3","Cosmos bipinnatus",2020,1,NA,NA,7.814,0.000783661747638109
"20","A3","Epilobium tetragonum",2022,1,15.9,0.465625,0.114,0.00216548351221353
"21","A3","Filipendula ulmaria",2021,1,22.6656623494118,0.858333333333333,0.576,0.00611702769328206
"22","A3","Impatiens glandulifera",2014,2,38.3,1.44444444444444,9.37,0.0306216016076104
"23","A3","Impatiens glandulifera",2021,1,38.3,1.44444444444444,9.37,0.0306216016076104
"24","A3","Lunaria annua",2020,1,38.232,0.45,15.3714285714286,0.0157676626169376
"25","A3","Oxalis articulata",2022,1,NA,0.35,NA,0.000783661747638109
"26","A3","Stellaria media",2020,1,51.3528864717647,0.204737769230769,0.400453086956522,0.00080625434078547
"27","A4","Agrostemma githago",2019,1,17.818,0.744615384615385,12.2004,0.00120552214428082
"28","A4","Agrostemma githago",2020,1,17.818,0.744615384615385,12.2004,0.00120552214428082
"29","A4","Alliaria petiolata",2019,1,47.0135,0.561111111111111,2.70525,0.0225631389979403
"30","A4","Allium ursinum",2022,1,37.25,0.31875,5.31833333333333,0.00402967182251052
"31","A4","Antirrhinum majus",2022,1,17.2,0.440625,0.146,0.00021997522740719
"32","A4","Aquilegia vulgaris",2016,1,26.005882355,0.58,1.50166666666667,0.000278831959041075
"33","A4","Corylus avellana",2022,1,19.4326653124865,4.14457575757576,1096.23131416667,0.00934888593265385
"34","A4","Dasiphora fruticosa",2020,1,NA,NA,NA,0.00021997522740719
"35","A4","Epilobium hirsutum",2021,1,26.2435548666667,1.02145454545455,0.101333333333333,0.0189135297246327
"36","A4","Galium odoratum",2020,1,61.5157142857143,0.225,5.35,0.000676174610607573
"37","A4","Geranium lucidum",2020,1,27.425,0.203125,0.475,0.000582133486109399
"38","A4","Geranium macrorrhizum",2021,1,NA,NA,NA,0.000906749538065837
"39","A4","Geranium macrorrhizum",2022,1,NA,NA,NA,0.000906749538065837
"40","A4","Geranium phaeum",2021,3,35.709,0.403125,4.5,0.00065992568222157
"41","A4","Heliopsis helianthoides",2021,1,NA,1.5,NA,0.00021997522740719
"42","A4","Hyacinthoides massartiana",2021,1,NA,NA,NA,0.00021997522740719
"43","A4","Hypericum androsaemum",2019,3,NA,0.58,0.0625,0.0104642465704262
"44","A4","Iris pseudacorus",2020,1,14.9235714285714,0.75,51.335,0.0016608587965706
"45","A4","Lapsana communis",2022,1,44.9232892607143,0.507472571428571,0.826067142857143,0.00442533408798407
"46","A4","Lathyrus pratensis",2021,2,35.7433705855263,0.548636363636364,11.3875,0.00437417823773738
"47","A4","Lunaria annua",2022,1,38.232,0.45,15.3714285714286,0.0157676626169376
"48","A4","Lysimachia punctata",2022,1,24.2,0.58125,NA,0.00402480357312041
"49","A4","Pentaglottis sempervirens",2020,1,25.302,0.51,NA,0.0158394273496571
"50","A4","Pentaglottis sempervirens",2021,8,25.302,0.51,NA,0.0158394273496571
"51","A4","Pilosella aurantiaca",2019,1,NA,NA,NA,0.000691740962332146
"52","A4","Prunella vulgaris",2021,2,29.0513089351181,0.157670307692308,0.963407676470588,0.0108838777761191
"53","A4","Prunus cerasifera",2022,2,10.8005,7.114,468.017193142857,0.00106325794639347
"54","A4","Prunus padus",2020,1,20.8324271686957,8.14285714285714,106.666274444444,0.0007752664513904
"55","A4","Pulicaria dysenterica",2021,1,30.55,0.45,NA,0.00210459305540271
"56","A4","Pyracantha coccinea",2021,1,NA,NA,2,0.00021997522740719
"57","A4","Stachys sylvatica",2020,1,46.49625,0.525,1.47125,0.00788681115440144
"58","A4","Syringa vulgaris",2022,4,12.4723538602941,5.12,5.65409428571429,0.00499104234343832
"59","A4","Tanacetum parthenium",2021,3,36.3,0.29,0.1,0.00535541947967418
"60","A4","Viburnum tinus",2022,3,8.45900085106383,6,47.665,0.00293162869515974
"61","A4","Vinca major",2021,2,15.01537,0.293333333333333,19.4088,0.00113933921272237
"62","A5","Cardamine pratensis",2022,1,22.993097899,0.327857142857143,0.6,0.0205107701622765
"63","A5","Rabelera holostea",2020,1,NA,NA,NA,0.00786277754295253
"64","A5","Raphanus raphanistrum",2018,1,25.6333333333333,0.338461538461538,16.725875,0.00422893491641029
"65","A6","Alliaria petiolata",2021,1,47.0135,0.561111111111111,2.70525,0.0225631389979403
"66","A6","Cardamine pratensis",2020,1,22.993097899,0.327857142857143,0.6,0.0205107701622765
"67","A6","Heracleum mantegazzianum",2013,1,26.6985714285714,3.7,NA,0.00313464699055244
"68","A6","Vicia sepium",2022,1,36.4687149142105,0.516666666666667,17.645,0.00418914772946052
"69","A7","Cardamine pratensis",2021,1,22.993097899,0.327857142857143,0.6,0.0205107701622765
"70","A7","Cirsium vulgare",2022,1,14.7780548465484,0.895469428571429,2.60755653333333,0.00341646923884757
"71","A7","Corylus avellana",2019,1,19.4326653124865,4.14457575757576,1096.23131416667,0.00934888593265385
"72","A7","Filipendula ulmaria",2021,1,22.6656623494118,0.858333333333333,0.576,0.00611702769328206
"73","A7","Impatiens capensis",2021,1,54.3,0.32,NA,0.00707764091014109
"74","A7","Phragmites australis",2022,1,15.02978236832,2.1386,1.26714285714286,0.00418878662109481
"75","A7","Tanacetum vulgare",2018,1,20.38599947,0.6058,0.141111111111111,0.00323723863848646
"76","B1","Borago officinalis",2021,1,24.848,0.31,17.045,0.0187755194088941
"77","B1","Hyacinthoides non-scripta",2018,1,21.2333333333333,0.2175,5.76375,0.00478848433227427
"78","B1","Hydrangea macrophylla",2020,1,NA,NA,NA,0.00313464699055244
"79","B1","Lysimachia punctata",2020,1,24.2,0.58125,NA,0.00402480357312041
"80","B2","Aesculus hippocastanum",2021,1,10.960002739726,23.8,13737.6212314286,0.011356615460285
"81","B2","Dipsacus fullonum",2020,1,20.076716665,0.95,2.67266666666667,0.00319746691079507
"82","B2","Geum urbanum",2020,1,36.0021288313636,0.352272727272727,1.75013333333333,0.00317432332971591
"83","B2","Hypericum androsaemum",2020,1,NA,0.58,0.0625,0.0104642465704262
"84","B2","Hypericum androsaemum",2021,1,NA,0.58,0.0625,0.0104642465704262
"85","B2","Lapsana communis",2020,1,44.9232892607143,0.507472571428571,0.826067142857143,0.00442533408798407
"86","B2","Larix decidua",2020,1,12.3225433239096,27.1093218818381,6.62183514285714,0.000783661747638109
"87","B2","Melissa officinalis",2020,1,NA,0.525,0.311,0.00538060150854846
"88","B2","Omphalodes verna",2021,1,22.978,0.075,NA,0.000783661747638109
"89","B2","Ophrys apifera",2021,1,19.6666666666667,0.15,NA,0.000861400991792851
"90","B2","Papaver cambricum",2020,1,35.5,0.39,0.22,0.00167042903563545
"91","B2","Prunella vulgaris",2020,1,29.0513089351181,0.157670307692308,0.963407676470588,0.0108838777761191
"92","B2","Prunus laurocerasus",2021,1,5.70778291362008,5.42536,250.098571428571,0.00336033881581965
"93","B2","Ribes uva-crispa",2022,1,23.2087899544025,0.69,NA,0.000783661747638109
"94","B2","Silene dioica",2020,1,39.2691578947368,0.589,0.662,0.0112789827148048
"95","B2","Viburnum opulus",2017,1,14.6311605956885,2.91666666666667,35.310952,0.00197050095154002
"96","B3","Aegopodium podagraria",2020,1,27.8824242421053,0.578125,2.3615,0.00151807728023159
"97","B3","Aesculus hippocastanum",2022,1,10.960002739726,23.8,13737.6212314286,0.011356615460285
"98","B3","Ajuga reptans",2021,1,33.30081319,0.152125,1.47,0.000368781998888524
"99","B3","Allium ursinum",2020,2,37.25,0.31875,5.31833333333333,0.00402967182251052
"100","B3","Amblystegium serpens",2016,1,NA,NA,NA,0.00539295695631585
"101","B3","Borago officinalis",2021,2,24.848,0.31,17.045,0.0187755194088941
"102","B3","Circaea lutetiana",2021,1,36.7,0.3775,2.68014285714286,0.00296871830661071
"103","B3","Cirsium arvense",2022,1,15.3333392966667,0.780030272727273,1.24347022727273,0.00374535552341335
"104","B3","Fagus sylvatica",2020,1,15.1312086914368,23.9347058823529,246.218081555556,0.00716135138700591
"105","B3","Filipendula ulmaria",2022,1,22.6656623494118,0.858333333333333,0.576,0.00611702769328206
"106","B3","Geranium robertianum",2019,1,36.6050986026087,0.27012125,1.00235255555556,0.00139062754516856
"107","B3","Impatiens capensis",2022,1,54.3,0.32,NA,0.00707764091014109
"108","B3","Impatiens capensis",2024,1,54.3,0.32,NA,0.00707764091014109
"109","B3","Impatiens glandulifera",2020,1,38.3,1.44444444444444,9.37,0.0306216016076104
"110","B3","Iris pseudacorus",2019,1,14.9235714285714,0.75,51.335,0.0016608587965706
"111","B3","Iris pseudacorus",2022,2,14.9235714285714,0.75,51.335,0.0016608587965706
"112","B3","Isothecium alopecuroides",2016,1,NA,NA,NA,0.000368781998888524
"113","B3","Lapsana communis",2022,1,44.9232892607143,0.507472571428571,0.826067142857143,0.00442533408798407
"114","B3","Lewinskya affinis",2016,1,NA,NA,NA,0.0074766230585248
"115","B3","Lophocolea heterophylla",2016,1,NA,NA,NA,0.00238000579905499
"116","B3","Porella platyphylla",2016,1,NA,NA,NA,0.000368781998888524
"117","B3","Prunella vulgaris",2021,1,29.0513089351181,0.157670307692308,0.963407676470588,0.0108838777761191
"118","B3","Sciuro-hypnum plumosum",2016,1,NA,NA,NA,0.000368781998888524
"119","B3","Silene dioica",2020,5,39.2691578947368,0.589,0.662,0.0112789827148048
"120","B3","Stachys palustris",2024,1,35.9991395533333,0.608333333333333,0.9725,0.00447835074401957
"121","B3","Syringa vulgaris",2020,1,12.4723538602941,5.12,5.65409428571429,0.00499104234343832
"122","B3","Tussilago farfara",2021,1,19.625,0.16375,0.346666666666667,0.00209668961312647
"123","B4","Aesculus hippocastanum",2020,1,10.960002739726,23.8,13737.6212314286,0.011356615460285
"124","B4","Alliaria petiolata",2019,1,47.0135,0.561111111111111,2.70525,0.0225631389979403
"125","B4","Alliaria petiolata",2024,1,47.0135,0.561111111111111,2.70525,0.0225631389979403
"126","B4","Anthriscus sylvestris",2020,1,30.4975107352381,0.833333333333333,3.83123076923077,0.00127803382915734
"127","B4","Bellis perennis",2023,1,27.9817033727273,0.0685248571428571,0.1287879,0.00269686383985852
"128","B4","Cotinus coggygria",2023,1,NA,2,9.08828244444445,0.000447806712936062
"129","B4","Cyclamen hederifolium",2023,1,NA,NA,NA,0.000447806712936062
"130","B4","Digitalis purpurea",2020,1,17.5768771428571,0.8573469,0.08917315,0.000519049882860519
"131","B4","Elaeagnus pungens",2018,1,17.4965,NA,16,0.000447806712936062
"132","B4","Geranium macrorrhizum",2021,1,NA,NA,NA,0.000906749538065837
"133","B4","Geranium robertianum",2018,1,36.6050986026087,0.27012125,1.00235255555556,0.00139062754516856
"134","B4","Hedera helix",2023,1,11.850317826087,12.57559525,23.27036375,0.00585323858383034
"135","B4","Hypericum androsaemum",2020,1,NA,0.58,0.0625,0.0104642465704262
"136","B4","Leycesteria formosa",2022,1,NA,2,0.4,0.00371245904295096
"137","B4","Matteuccia struthiopteris",2023,1,30.1096373215385,0.9,NA,0.000447806712936062
"138","B4","Melissa officinalis",2020,1,NA,0.525,0.311,0.00538060150854846
"139","B4","Pittosporum tenuifolium",2018,1,NA,NA,11.9788888888889,0.000447806712936062
"140","B4","Prunus laurocerasus",2020,2,5.70778291362008,5.42536,250.098571428571,0.00336033881581965
"141","B4","Prunus laurocerasus",2023,1,5.70778291362008,5.42536,250.098571428571,0.00336033881581965
"142","B4","Prunus lusitanica",2021,1,5.73333411415632,12,NA,0.00239377838914192
