"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",4974189137,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/186841867","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus excelsior","","SPECIES","Fraxinus excelsior L.","Fraxinus excelsior","","GB","","England","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",51.408089,-0.645061,4,NA,NA,NA,NA,NA,"2023-10-09T13:42:18",9,10,2023,3172358,3172358,"HUMAN_OBSERVATION","iNaturalist","Observations","186841867","","Ben Thomas",2023-10-09 21:59:01,"CC_BY_NC_4_0","etibok","etibok",NA,NA,2024-10-28 16:50:41.45,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"2",4948886376,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10332","Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae","Ceratodon","Ceratodon purpureus","","SPECIES","Ceratodon purpureus (Hedw.) Brid.","Ceratodon purpureus","(Hedw.) Brid.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.386893,-0.613833,5,NA,NA,NA,NA,NA,"2021-08-10",10,8,2021,5281381,5281381,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.528,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"3",4948885944,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10634","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pubescens","","SPECIES","Betula pubescens Ehrh.","Betula pubescens","Ehrh.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.387603,-0.612259,5,NA,NA,NA,NA,NA,"2021-08-10",10,8,2021,9118014,9118014,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.455,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"4",4948885541,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10557","Plantae","Bryophyta","Bryopsida","Dicranales","Leucobryaceae","Campylopus","Campylopus pyriformis","","SPECIES","Campylopus pyriformis (Schultz) Brid.","Campylopus pyriformis","(Schultz) Brid.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.381,-0.605978,5,NA,NA,NA,NA,NA,"2021-08-18",18,8,2021,5281948,5281948,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.398,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"5",4948885201,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10716","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex pilulifera","","SPECIES","Carex pilulifera L.","Carex pilulifera","L.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.380008,-0.603479,5,NA,NA,NA,NA,NA,"2021-08-23",23,8,2021,2726614,2726614,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.343,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"6",4948885178,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10441","Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae","Ceratodon","Ceratodon purpureus","","SPECIES","Ceratodon purpureus (Hedw.) Brid.","Ceratodon purpureus","(Hedw.) Brid.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.383347,-0.606754,5,NA,NA,NA,NA,NA,"2021-08-16",16,8,2021,5281381,5281381,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.339,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"7",4948884311,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10648","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pubescens","","SPECIES","Betula pubescens Ehrh.","Betula pubescens","Ehrh.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.383858,-0.605848,5,NA,NA,NA,NA,NA,"2021-08-12",12,8,2021,9118014,9118014,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.206,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"8",4948883252,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10378","Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Cephaloziaceae","Fuscocephaloziopsis","Fuscocephaloziopsis connivens","","SPECIES","Cephalozia connivens (Dicks.) Lindb.","Cephalozia connivens","(Dicks.) Lindb.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.384285,-0.60549,5,NA,NA,NA,NA,NA,"2021-08-12",12,8,2021,2689150,9443095,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.196,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"9",4948883214,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10700","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ulex","Ulex minor","","SPECIES","Ulex minor Roth","Ulex minor","Roth","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.386556,-0.615007,5,NA,NA,NA,NA,NA,"2021-08-09",9,8,2021,2951968,2951968,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.192,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
"10",4948882937,"f674de32-f52a-4e4b-a89b-a7b227f4495a","NELTMN10627","Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae","Ceratodon","Ceratodon purpureus","","SPECIES","Ceratodon purpureus (Hedw.) Brid.","Ceratodon purpureus","(Hedw.) Brid.","GB","Chobham Common","England","PRESENT",NA,"598eb93d-a844-4289-8adb-0f8583dac91e",51.38672,-0.615189,5,NA,NA,NA,NA,NA,"2021-08-09",9,8,2021,5281381,5281381,"HUMAN_OBSERVATION","Natural England","LTMN","","","",NA,"CC_BY_4_0","Natural England","NE LTMN surveyors",NA,NA,2024-10-30 20:00:15.147,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
