"","plot","species","year","abundance","SLA","Height","Seed_mass","beta_contrib"
"1","A1","Calluna vulgaris",2021,1,11.2354173508484,0.779285714285714,0.0356363636363636,0.0110919506546055
"2","A1","Mercurialis annua",2023,1,48.063,0.26875,1.53333333333333,0.0388690838098254
"3","A1","Rhododendron ponticum",2022,2,6.38461603983751,3,0.2,0.0390807142282091
"4","A1","Sorbus aucuparia",2021,1,10.7430853767383,8.70430268589744,15.6541576,0.0092355024848214
"5","A1","Tussilago farfara",2022,1,19.625,0.16375,0.346666666666667,0.00558149109349745
"6","A10","Aegopodium podagraria",2023,1,27.8824242421053,0.578125,2.3615,0.0043187870899806
"7","A10","Cytisus scoparius",2023,1,12.4571451724936,1.20555555555556,80.494895498538,0.0043187870899806
"8","A10","Dianthus barbatus",2022,1,17.146,0.375,1.05666666666667,0.00558149109349745
"9","A10","Dryopteris filix-mas",2023,1,24.2,0.75,NA,0.0043187870899806
"10","A10","Epilobium hirsutum",2022,1,26.2435548666667,1.02145454545455,0.101333333333333,0.0109799824790114
"11","A10","Grimmia pulvinata",2023,1,NA,NA,NA,0.0043187870899806
"12","A10","Iris foetidissima",2023,1,10.3181818181818,NA,83.5066666666667,0.0043187870899806
"13","A10","Malva neglecta",2021,1,23.7,0.3,2.26,0.00612488026844626
"14","A10","Phacelia tanacetifolia",2021,1,29.616,0.601428571428571,1.66857142857143,0.00612488026844626
"15","A10","Pilosella officinarum",2023,1,14.4839690928571,0.0206428571428571,0.19,0.0043187870899806
"16","A10","Prunella vulgaris",2022,1,29.0513089351181,0.157670307692308,0.963407676470588,0.0212774256934289
"17","A10","Rudbeckia fulgida",2021,1,NA,NA,0.5,0.0158579475862891
"18","A10","Ulex europaeus",2023,1,6.45583426547353,1.18,6.614712,0.0043187870899806
"19","A10","Vinca major",2023,1,15.01537,0.293333333333333,19.4088,0.0043187870899806
"20","A10","Vinca minor",2023,1,24.7,0.505,6.13,0.0043187870899806
"21","A2","Beta vulgaris",2022,1,21.9313216711111,1.01364285714286,19.7249405940594,0.0083722366402462
"22","A2","Prunus padus",2021,1,20.8324271686957,8.14285714285714,106.666274444444,0.0183746408053389
"23","A2","Rhododendron ponticum",2022,1,6.38461603983751,3,0.2,0.0390807142282091
"24","A3","Epilobium tetragonum",2022,1,15.9,0.465625,0.114,0.0083722366402462
"25","A3","Impatiens glandulifera",2021,1,38.3,1.44444444444444,9.37,0.00618693571404846
"26","A3","Pentaglottis sempervirens",2021,1,25.302,0.51,NA,0.0264662636169636
"27","A3","Pittosporum tenuifolium",2022,1,NA,NA,11.9788888888889,0.0137295997799246
"28","A3","Prunus laurocerasus",2021,2,5.70778291362008,5.42536,250.098571428571,0.0567064397131898
"29","A3","Prunus spinosa",2021,2,13.6342957207919,2.308,199.474305176471,0.00524989737295397
"30","A3","Sonchus oleraceus",2021,1,37.9652151821053,1.03409090909091,0.303702928571429,0.00262494868647698
"31","A5","Alliaria petiolata",2022,2,47.0135,0.561111111111111,2.70525,0.0947240774589164
"32","A6","Lathraea clandestina",2022,1,NA,NA,NA,0.0041861183201231
"33","A6","Mercurialis perennis",2022,1,25.6833333333333,0.244444444444444,5.82333333333333,0.0115055250036609
"34","A6","Oenanthe crocata",2022,1,41.6,0.8,3.46,0.0041861183201231
"35","A6","Stachys sylvatica",2022,1,46.49625,0.525,1.47125,0.00464574236104061
"36","A7","Alliaria petiolata",2021,1,47.0135,0.561111111111111,2.70525,0.0183746408053389
"37","A7","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525,0.0947240774589164
"38","A7","Allium ursinum",2022,1,37.25,0.31875,5.31833333333333,0.0041861183201231
"39","A7","Mercurialis perennis",2022,1,25.6833333333333,0.244444444444444,5.82333333333333,0.0115055250036609
"40","A7","Vinca minor",2022,1,24.7,0.505,6.13,0.0041861183201231
"41","A9","Cirsium vulgare",2022,1,14.7780548465484,0.895469428571429,2.60755653333333,0.0167444732804924
"42","A9","Corylus avellana",2021,1,19.4326653124865,4.14457575757576,1096.23131416667,0.0355029789215102
"43","A9","Fagus sylvatica",2021,1,15.1312086914368,23.9347058823529,246.218081555556,0.0136205209651159
"44","A9","Salix purpurea",2021,1,6.23995392641904,2.95250909090909,0.09,0.00612488026844627
"45","B1","Corylus maxima",2022,1,NA,4,NA,0.0083722366402462
"46","B1","Oxalis tetraphylla",2021,1,NA,NA,NA,0.00918732040266945
"47","B1","Pentaglottis sempervirens",2023,1,25.302,0.51,NA,0.0388690838098254
"48","B1","Trifolium micranthum",2022,1,32.3871428571429,0.055625,0.55,0.0083722366402462
"49","B1","Viburnum tinus",2021,1,8.45900085106383,6,47.665,0.0182014467548761
"50","B10","Erica tetralix",2022,1,11.01625,0.405,0.0228,0.0072717907198384
"51","B10","Eriophorum angustifolium",2022,1,9.0774073775249,0.2279,0.446666666666667,0.00611960728108724
"52","B10","Narthecium ossifragum",2022,1,24.15,0.165,0.092,0.00864426484728026
"53","B10","Origanum vulgare",2021,1,22.935594005,0.409090909090909,0.109777777777778,0.00612488026844627
"54","B10","Potentilla erecta",2021,1,26.2880392462963,0.168727272727273,0.3382,0.00832368568150728
"55","B10","Pteridium aquilinum",2023,1,17.7984489515385,1.13571428571429,NA,0.00971727095245634
"56","B10","Rhytidiadelphus squarrosus",2023,1,NA,NA,NA,0.0115102032609075
"57","B10","Sedum album",2023,1,15.6584066666667,0.109444444444444,0.0307345,0.00971727095245634
"58","B10","Tussilago farfara",2021,1,19.625,0.16375,0.346666666666667,0.00612488026844627
"59","B10","Verbena bonariensis",2023,1,NA,NA,NA,0.00971727095245634
"60","B3","Glechoma hederacea",2021,1,35.1604444414286,0.2425,0.69,0.0414344582996408
"61","B4","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525,0.0947240774589164
"62","B4","Allium triquetrum",2022,1,23.9,NA,NA,0.00558149109349745
"63","B4","Pentaglottis sempervirens",2022,1,25.302,0.51,NA,0.0239010354478474
"64","B4","Prunus laurocerasus",2021,1,5.70778291362008,5.42536,250.098571428571,0.0567064397131898
"65","B5","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525,0.0947240774589164
"66","B5","Dipsacus fullonum",2023,1,20.076716665,0.95,2.67266666666667,0.0388690838098254
"67","B5","Epipactis helleborine",2021,1,28.0505835,1,0.002634,0.00612488026844627
"68","B5","Hypericum androsaemum",2021,1,NA,0.58,0.0625,0.00860402257854563
"69","B5","Hypericum androsaemum",2022,1,NA,0.58,0.0625,0.00464574236104061
"70","B5","Lamium galeobdolon",2022,1,NA,NA,NA,0.0041861183201231
"71","B5","Pentaglottis sempervirens",2022,1,25.302,0.51,NA,0.0239010354478474
"72","B5","Prunus laurocerasus",2021,1,5.70778291362008,5.42536,250.098571428571,0.0567064397131898
"73","B6","Fagus sylvatica",2022,1,15.1312086914368,23.9347058823529,246.218081555556,0.0301973764728694
"74","B7","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525,0.0947240774589164
"75","B8","Ageratum houstonianum",2022,1,NA,NA,0.12,0.00837223664024619
"76","B8","Coriandrum sativum",2022,1,47.427,0.468571428571429,13.0428571428571,0.00837223664024619
"77","B8","Cosmos bipinnatus",2021,1,NA,NA,7.814,0.00459366020133472
"78","B8","Dioscorea communis",2021,1,30.3,2.1875,19.706,0.00459366020133472
"79","B8","Lysimachia punctata",2021,2,24.2,0.58125,NA,0.00918732040266945
"80","C1","Aesculus hippocastanum",2022,1,10.960002739726,23.8,13737.6212314286,0.00558149109349745
"81","C1","Crataegus monogyna",2022,1,10.8918091312607,6.40343177777778,163.821378947368,0.00558149109349745
"82","C1","Fagus sylvatica",2022,1,15.1312086914368,23.9347058823529,246.218081555556,0.0301973764728694
"83","C1","Ulex europaeus",2021,1,6.45583426547353,1.18,6.614712,0.0303776237568558
"84","C10","Crocosmia crocosmiiflora",2023,1,NA,NA,NA,0.00971727095245634
"85","C10","Erica cinerea",2021,1,9.05700112866817,0.482142857142857,0.085,0.02356753686912
"86","C10","Jacobaea erucifolia",2023,1,NA,NA,NA,0.00971727095245634
"87","C10","Lotus corniculatus",2022,1,22.0211194113235,0.165488888888889,1.21033653731343,0.0167444732804924
"88","C10","Molinia caerulea",2021,1,19.7179310344828,0.8125,0.6,0.00911703652394973
"89","C10","Pulicaria dysenterica",2021,2,30.55,0.45,NA,0.00918732040266945
"90","C10","Rumex acetosella",2023,1,26.433089602093,0.1329141875,0.72092435,0.00971727095245634
"91","C10","Teucrium scorodonia",2023,1,23.7363636363636,0.261111111111111,0.7046,0.0206130606852535
"92","C3","Allium triquetrum",2021,1,23.9,NA,NA,0.00918732040266945
"93","C3","Bellis perennis",2023,1,27.9817033727273,0.0685248571428571,0.1287879,0.00971727095245634
"94","C3","Plantago lanceolata",2023,1,19.2313444539735,0.2055435,1.5269752195122,0.00971727095245634
"95","C3","Prunella vulgaris",2023,1,29.0513089351181,0.157670307692308,0.963407676470588,0.00971727095245634
"96","C3","Rudbeckia fulgida",2021,1,NA,NA,0.5,0.0158579475862891
"97","C3","Urtica dioica",2023,1,22.1834656468364,0.480761904761905,0.1262775,0.0232523765174788
"98","C4","Chelidonium majus",2022,2,44.8854545454545,0.4875,0.753333333333333,0.00837223664024619
"99","C4","Humulus lupulus",2022,1,23.9666666666667,5,3.46,0.0041861183201231
"100","C4","Symphytum orientale",2022,1,29.7,0.7,NA,0.0041861183201231
"101","C5","Aegopodium podagraria",2022,1,27.8824242421053,0.578125,2.3615,0.00603372288671305
