"","plot","species","year","abundance","SLA","Height","Seed_mass"
"1","A1","Calluna vulgaris",2021,1,11.2354173508484,0.779285714285714,0.0356363636363636
"2","A1","Mercurialis annua",2023,1,48.063,0.26875,1.53333333333333
"3","A1","Rhododendron ponticum",2022,2,6.38461603983751,3,0.2
"4","A1","Sorbus aucuparia",2021,1,10.7430853767383,8.70430268589744,15.6541576
"5","A1","Tussilago farfara",2022,1,19.625,0.16375,0.346666666666667
"6","A10","Aegopodium podagraria",2023,1,27.8824242421053,0.578125,2.3615
"7","A10","Cytisus scoparius",2023,1,12.4571451724936,1.20555555555556,80.494895498538
"8","A10","Dianthus barbatus",2022,1,17.146,0.375,1.05666666666667
"9","A10","Dryopteris filix-mas",2023,1,24.2,0.75,NA
"10","A10","Epilobium hirsutum",2022,1,26.2435548666667,1.02145454545455,0.101333333333333
"11","A10","Grimmia pulvinata",2023,1,NA,NA,NA
"12","A10","Iris foetidissima",2023,1,10.3181818181818,NA,83.5066666666667
"13","A10","Malva neglecta",2021,1,23.7,0.3,2.26
"14","A10","Phacelia tanacetifolia",2021,1,29.616,0.601428571428571,1.66857142857143
"15","A10","Pilosella officinarum",2023,1,14.4839690928571,0.0206428571428571,0.19
"16","A10","Prunella vulgaris",2022,1,29.0513089351181,0.157670307692308,0.963407676470588
"17","A10","Rudbeckia fulgida",2021,1,NA,NA,0.5
"18","A10","Ulex europaeus",2023,1,6.45583426547353,1.18,6.614712
"19","A10","Vinca major",2023,1,15.01537,0.293333333333333,19.4088
"20","A10","Vinca minor",2023,1,24.7,0.505,6.13
"21","A2","Beta vulgaris",2022,1,21.9313216711111,1.01364285714286,19.7249405940594
"22","A2","Prunus padus",2021,1,20.8324271686957,8.14285714285714,106.666274444444
"23","A2","Rhododendron ponticum",2022,1,6.38461603983751,3,0.2
"24","A3","Epilobium tetragonum",2022,1,15.9,0.465625,0.114
"25","A3","Impatiens glandulifera",2021,1,38.3,1.44444444444444,9.37
"26","A3","Pentaglottis sempervirens",2021,1,25.302,0.51,NA
"27","A3","Pittosporum tenuifolium",2022,1,NA,NA,11.9788888888889
"28","A3","Prunus laurocerasus",2021,2,5.70778291362008,5.42536,250.098571428571
"29","A3","Prunus spinosa",2021,2,13.6342957207919,2.308,199.474305176471
"30","A3","Sonchus oleraceus",2021,1,37.9652151821053,1.03409090909091,0.303702928571429
"31","A5","Alliaria petiolata",2022,2,47.0135,0.561111111111111,2.70525
"32","A6","Lathraea clandestina",2022,1,NA,NA,NA
"33","A6","Mercurialis perennis",2022,1,25.6833333333333,0.244444444444444,5.82333333333333
"34","A6","Oenanthe crocata",2022,1,41.6,0.8,3.46
"35","A6","Stachys sylvatica",2022,1,46.49625,0.525,1.47125
"36","A7","Alliaria petiolata",2021,1,47.0135,0.561111111111111,2.70525
"37","A7","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"38","A7","Allium ursinum",2022,1,37.25,0.31875,5.31833333333333
"39","A7","Mercurialis perennis",2022,1,25.6833333333333,0.244444444444444,5.82333333333333
"40","A7","Vinca minor",2022,1,24.7,0.505,6.13
"41","A9","Cirsium vulgare",2022,1,14.7780548465484,0.895469428571429,2.60755653333333
"42","A9","Corylus avellana",2021,1,19.4326653124865,4.14457575757576,1096.23131416667
"43","A9","Fagus sylvatica",2021,1,15.1312086914368,23.9347058823529,246.218081555556
"44","A9","Salix purpurea",2021,1,6.23995392641904,2.95250909090909,0.09
"45","B1","Corylus maxima",2022,1,NA,4,NA
"46","B1","Oxalis tetraphylla",2021,1,NA,NA,NA
"47","B1","Pentaglottis sempervirens",2023,1,25.302,0.51,NA
"48","B1","Trifolium micranthum",2022,1,32.3871428571429,0.055625,0.55
"49","B1","Viburnum tinus",2021,1,8.45900085106383,6,47.665
"50","B10","Erica tetralix",2022,1,11.01625,0.405,0.0228
"51","B10","Eriophorum angustifolium",2022,1,9.0774073775249,0.2279,0.446666666666667
"52","B10","Narthecium ossifragum",2022,1,24.15,0.165,0.092
"53","B10","Origanum vulgare",2021,1,22.935594005,0.409090909090909,0.109777777777778
"54","B10","Potentilla erecta",2021,1,26.2880392462963,0.168727272727273,0.3382
"55","B10","Pteridium aquilinum",2023,1,17.7984489515385,1.13571428571429,NA
"56","B10","Rhytidiadelphus squarrosus",2023,1,NA,NA,NA
"57","B10","Sedum album",2023,1,15.6584066666667,0.109444444444444,0.0307345
"58","B10","Tussilago farfara",2021,1,19.625,0.16375,0.346666666666667
"59","B10","Verbena bonariensis",2023,1,NA,NA,NA
"60","B3","Glechoma hederacea",2021,1,35.1604444414286,0.2425,0.69
"61","B4","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"62","B4","Allium triquetrum",2022,1,23.9,NA,NA
"63","B4","Pentaglottis sempervirens",2022,1,25.302,0.51,NA
"64","B4","Prunus laurocerasus",2021,1,5.70778291362008,5.42536,250.098571428571
"65","B5","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"66","B5","Dipsacus fullonum",2023,1,20.076716665,0.95,2.67266666666667
"67","B5","Epipactis helleborine",2021,1,28.0505835,1,0.002634
"68","B5","Hypericum androsaemum",2021,1,NA,0.58,0.0625
"69","B5","Hypericum androsaemum",2022,1,NA,0.58,0.0625
"70","B5","Lamium galeobdolon",2022,1,NA,NA,NA
"71","B5","Pentaglottis sempervirens",2022,1,25.302,0.51,NA
"72","B5","Prunus laurocerasus",2021,1,5.70778291362008,5.42536,250.098571428571
"73","B6","Fagus sylvatica",2022,1,15.1312086914368,23.9347058823529,246.218081555556
"74","B7","Alliaria petiolata",2022,1,47.0135,0.561111111111111,2.70525
"75","B8","Ageratum houstonianum",2022,1,NA,NA,0.12
"76","B8","Coriandrum sativum",2022,1,47.427,0.468571428571429,13.0428571428571
"77","B8","Cosmos bipinnatus",2021,1,NA,NA,7.814
"78","B8","Dioscorea communis",2021,1,30.3,2.1875,19.706
"79","B8","Lysimachia punctata",2021,2,24.2,0.58125,NA
"80","C1","Aesculus hippocastanum",2022,1,10.960002739726,23.8,13737.6212314286
"81","C1","Crataegus monogyna",2022,1,10.8918091312607,6.40343177777778,163.821378947368
"82","C1","Fagus sylvatica",2022,1,15.1312086914368,23.9347058823529,246.218081555556
"83","C1","Ulex europaeus",2021,1,6.45583426547353,1.18,6.614712
"84","C10","Crocosmia crocosmiiflora",2023,1,NA,NA,NA
"85","C10","Erica cinerea",2021,1,9.05700112866817,0.482142857142857,0.085
"86","C10","Jacobaea erucifolia",2023,1,NA,NA,NA
"87","C10","Lotus corniculatus",2022,1,22.0211194113235,0.165488888888889,1.21033653731343
"88","C10","Molinia caerulea",2021,1,19.7179310344828,0.8125,0.6
"89","C10","Pulicaria dysenterica",2021,2,30.55,0.45,NA
"90","C10","Rumex acetosella",2023,1,26.433089602093,0.1329141875,0.72092435
"91","C10","Teucrium scorodonia",2023,1,23.7363636363636,0.261111111111111,0.7046
"92","C3","Allium triquetrum",2021,1,23.9,NA,NA
"93","C3","Bellis perennis",2023,1,27.9817033727273,0.0685248571428571,0.1287879
"94","C3","Plantago lanceolata",2023,1,19.2313444539735,0.2055435,1.5269752195122
"95","C3","Prunella vulgaris",2023,1,29.0513089351181,0.157670307692308,0.963407676470588
"96","C3","Rudbeckia fulgida",2021,1,NA,NA,0.5
"97","C3","Urtica dioica",2023,1,22.1834656468364,0.480761904761905,0.1262775
"98","C4","Chelidonium majus",2022,2,44.8854545454545,0.4875,0.753333333333333
"99","C4","Humulus lupulus",2022,1,23.9666666666667,5,3.46
"100","C4","Symphytum orientale",2022,1,29.7,0.7,NA
"101","C5","Aegopodium podagraria",2022,1,27.8824242421053,0.578125,2.3615
"102","C5","Darmera peltata",2022,1,NA,NA,0.211
"103","C5","Viburnum lantana",2022,1,14.6005277302,3.4,47.3604108
"104","C8","Buddleja globosa",2022,1,NA,NA,NA
"105","C8","Prunella vulgaris",2022,1,29.0513089351181,0.157670307692308,0.963407676470588
"106","C9","Populus tremula",2022,1,13.662270417109,2.73138593443038,0.11483625
"107","C9","Ulex europaeus",2021,1,6.45583426547353,1.18,6.614712
"108","C9","Vinca major",2021,1,15.01537,0.293333333333333,19.4088
"109","D10","Agrostis canina",2021,1,27.6652625722222,0.3,0.0575
"110","D10","Alpagrostis setacea",2021,8,NA,NA,NA
"111","D10","Amblystegium serpens",2021,1,NA,NA,NA
"112","D10","Asperifolia arguta",2021,2,NA,NA,NA
"113","D10","Aulacomnium palustre",2021,3,NA,NA,NA
"114","D10","Betula pendula",2021,1,15.1445311045607,13.5256842105263,0.421202181818182
"115","D10","Betula pubescens",2021,9,13.3996451045635,11.1411231343284,0.258388142857143
"116","D10","Brachythecium albicans",2021,1,NA,NA,NA
"117","D10","Brachythecium albicans",2023,1,NA,NA,NA
"118","D10","Brachythecium rivulare",2021,1,NA,NA,NA
"119","D10","Brachythecium rutabulum",2021,1,NA,NA,NA
"120","D10","Calluna vulgaris",2021,17,11.2354173508484,0.779285714285714,0.0356363636363636
"121","D10","Calluna vulgaris",2022,1,11.2354173508484,0.779285714285714,0.0356363636363636
"122","D10","Calypogeia fissa",2021,4,NA,NA,NA
"123","D10","Calypogeia muelleriana",2021,2,NA,NA,NA
"124","D10","Campylopus flexuosus",2021,1,NA,NA,NA
"125","D10","Campylopus introflexus",2021,13,NA,NA,NA
"126","D10","Campylopus pyriformis",2021,3,NA,NA,NA
"127","D10","Carex nigra",2021,1,19.2019230769231,0.14125,0.806666666666667
"128","D10","Carex pilulifera",2021,1,19.425,0.15,1.16666666666667
"129","D10","Carex rostrata",2021,1,14.7693690933,0.625,1.21733333333333
"130","D10","Cephalozia bicuspidata",2021,2,NA,NA,NA
"131","D10","Cephaloziella divaricata",2021,10,NA,NA,NA
"132","D10","Ceratodon purpureus",2021,4,NA,NA,NA
"133","D10","Cytisus scoparius",2022,1,12.4571451724936,1.20555555555556,80.494895498538
"134","D10","Danthonia decumbens",2021,2,17.22,0.175,1.42545454545455
"135","D10","Dicranum scoparium",2021,1,NA,NA,NA
"136","D10","Dryopteris carthusiana",2021,1,35.0040777777778,0.375,NA
"137","D10","Equisetum fluviatile",2021,1,10.978076365,1,NA
"138","D10","Erica cinerea",2021,8,9.05700112866817,0.482142857142857,0.085
"139","D10","Erica cinerea",2022,1,9.05700112866817,0.482142857142857,0.085
"140","D10","Erica tetralix",2021,16,11.01625,0.405,0.0228
"141","D10","Eriophorum angustifolium",2021,3,9.0774073775249,0.2279,0.446666666666667
"142","D10","Funaria hygrometrica",2021,1,NA,NA,NA
"143","D10","Fuscocephaloziopsis connivens",2021,3,NA,NA,NA
"144","D10","Geheebia fallax",2021,1,NA,NA,NA
"145","D10","Hypnum jutlandicum",2021,13,NA,NA,NA
"146","D10","Hypochaeris radicata",2021,1,22.3831801463333,0.3262,0.804389210526316
"147","D10","Juncus acutiflorus",2021,5,12.0071428571429,0.525,0.01
"148","D10","Juncus conglomeratus",2021,1,4.984,0.731428571428571,0.017
"149","D10","Juncus squarrosus",2021,4,5.918,0.205625,0.07625
"150","D10","Kindbergia praelonga",2021,1,NA,NA,NA
"151","D10","Leptodictyum riparium",2021,1,NA,NA,NA
"152","D10","Lophocolea bidentata",2021,1,NA,NA,NA
"153","D10","Molinia caerulea",2021,25,19.7179310344828,0.8125,0.6
"154","D10","Narthecium ossifragum",2021,1,24.15,0.165,0.092
"155","D10","Pedicularis sylvatica",2021,1,11.55,0.12875,1.07
"156","D10","Pilosella officinarum",2022,1,14.4839690928571,0.0206428571428571,0.19
"157","D10","Pinus sylvestris",2021,8,4.92704888008837,13.1851794619612,6.86829975
"158","D10","Plagiothecium curvifolium",2021,1,NA,NA,NA
"159","D10","Polytrichum juniperinum",2021,9,NA,NA,NA
"160","D10","Potentilla erecta",2021,1,26.2880392462963,0.168727272727273,0.3382
"161","D10","Quercus robur",2021,2,13.7566803291181,17.30856,3146.87815385714
"162","D10","Riccardia multifida",2021,2,NA,NA,NA
"163","D10","Rosulabryum capillare",2021,2,NA,NA,NA
"164","D10","Rumex crispus",2023,1,23.9109785253333,0.616544833333333,1.7043535
"165","D10","Sorbus aucuparia",2021,1,10.7430853767383,8.70430268589744,15.6541576
"166","D10","Sorbus aucuparia",2022,2,10.7430853767383,8.70430268589744,15.6541576
"167","D10","Sphagnum compactum",2021,3,NA,NA,NA
"168","D10","Sphagnum fallax",2021,2,NA,NA,NA
"169","D10","Sphagnum fimbriatum",2021,1,NA,NA,NA
"170","D10","Sphagnum palustre",2021,1,NA,NA,NA
"171","D10","Sphagnum papillosum",2021,1,NA,NA,NA
"172","D10","Sphagnum subnitens",2021,1,NA,NA,NA
"173","D10","Sphagnum tenellum",2021,2,NA,NA,NA
"174","D10","Trichophorum cespitosum",2021,8,6.41025641025641e-06,0.2,NA
"175","D10","Ulex europaeus",2021,4,6.45583426547353,1.18,6.614712
"176","D10","Ulex minor",2021,5,NA,0.335,3.315
"177","D4","Rhododendron ponticum",2022,1,6.38461603983751,3,0.2
"178","D8","Pilosella officinarum",2022,1,14.4839690928571,0.0206428571428571,0.19
"179","D8","Prunella vulgaris",2022,1,29.0513089351181,0.157670307692308,0.963407676470588
"180","D8","Stellaria graminea",2022,1,32.70140609,0.2949,0.2715
"181","D9","Betula pendula",2022,1,15.1445311045607,13.5256842105263,0.421202181818182
"182","D9","Cirsium palustre",2022,1,17.25154896,0.704666666666667,1.71333333333333
"183","D9","Erica cinerea",2021,2,9.05700112866817,0.482142857142857,0.085
"184","D9","Malus domestica",2023,1,17.2265374665978,4.48785714285714,26.9733333333333
"185","D9","Mentha aquatica",2022,1,29.3932,0.466666666666667,0.12
"186","D9","Pteridium aquilinum",2022,1,17.7984489515385,1.13571428571429,NA
"187","D9","Succisa pratensis",2023,1,17.9417850378431,0.126055555555556,1.36857142857143
"188","D9","Ulex europaeus",2022,1,6.45583426547353,1.18,6.614712
"189","E1","Aegopodium podagraria",2021,1,27.8824242421053,0.578125,2.3615
"190","E1","Rhododendron luteum",2021,1,NA,NA,NA
"191","E10","Carex rostrata",2021,1,14.7693690933,0.625,1.21733333333333
"192","E10","Drosera rotundifolia",2022,1,42.587687572,0.0745454545454545,0.017
"193","E10","Erica cinerea",2022,1,9.05700112866817,0.482142857142857,0.085
"194","E10","Erica tetralix",2021,1,11.01625,0.405,0.0228
"195","E10","Eriophorum angustifolium",2021,1,9.0774073775249,0.2279,0.446666666666667
"196","E10","Juncus acutiflorus",2021,1,12.0071428571429,0.525,0.01
"197","E10","Molinia caerulea",2021,1,19.7179310344828,0.8125,0.6
"198","E10","Narthecium ossifragum",2021,1,24.15,0.165,0.092
"199","E10","Narthecium ossifragum",2022,1,24.15,0.165,0.092
"200","E10","Polytrichum commune",2022,1,NA,NA,NA
"201","E10","Potentilla erecta",2021,1,26.2880392462963,0.168727272727273,0.3382
"202","E10","Sarracenia flava",2022,1,8.15549507894444,NA,1.4134065
"203","E10","Sarracenia purpurea",2021,1,14.7584349301563,0.175,1.83762483333333
"204","E10","Sarracenia purpurea",2022,6,14.7584349301563,0.175,1.83762483333333
"205","E10","Sarracenia purpurea",2023,4,14.7584349301563,0.175,1.83762483333333
"206","E2","Phormium tenax",2021,1,NA,NA,5
"207","E3","Fagus sylvatica",2021,1,15.1312086914368,23.9347058823529,246.218081555556
"208","E3","Fritillaria meleagris",2021,2,23.7071428571429,0.225,1.66
