"","species","SLA"
"1","Vicia faba","27.2542857142857"
"2","Triticum aestivum","22.7166666666667"
"3","Geranium lucidum","27.425"
"4","Arrhenatherum elatius","30.2525991922669"
"5","Phleum pratense","23.682393905122"
"6","Dactylis glomerata","25.6180945078378"
"7","Centaurea nigra","25.2104347826087"
"8","Rubus fruticosus","15.78375"
"9","Vicia tetrasperma","31.8964966933333"
"10","Lotus corniculatus","22.0211194113235"
"11","Agrostis capillaris","32.7332496245946"
"12","Trisetum flavescens","22.6092905778947"
"13","Cirsium dissectum","18.4553846153846"
"14","Cynosurus cristatus","22.9468112889474"
"15","Picris echioides","35.7777777777778"
"16","Chenopodium album","22.8641729198214"
"17","Fallopia convolvulus","23.875"
"18","Brachypodium sylvaticum","44.1189473684211"
"19","Glechoma hederacea","35.1604444414286"
"20","Urtica dioica","22.1834656468364"
"21","Poa trivialis","30.931112458"
"22","Senecio sylvaticus","34.8042314814815"
"23","Aethusa cynapium","33.31"
"24","Bromus hordeaceus","31.110411268302"
"25","Succisa pratensis","17.9417850378431"
"26","Daucus carota","23.0545981708824"
"27","Trifolium repens","31.7824236215441"
"28","Agrostis stolonifera","30.880967425"
"29","Trifolium dubium","45.0880137534783"
"30","Veronica chamaedrys","32.5695715330645"
"31","Lamium album","35.809447676129"
"32","Mercurialis perennis","25.6833333333333"
"33","Rumex sanguineus","25"
"34","Chaerophyllum temulum","27.5666666666667"
"35","Ranunculus repens","23.6490374169643"
"36","Deschampsia cespitosa","17.2273219146444"
"37","Hordeum vulgare","32.5690666666667"
"38","Tripleurospermum inodorum","22.405185525"
"39","Prunella vulgaris","29.0513089351181"
"40","Senecio jacobaea","26.9363701102381"
"41","Carex flacca","15.3288535493947"
"42","Acer campestre","12.8478128282563"
"43","Cirsium arvense","15.3333392966667"
"44","Senecio vulgaris","42.5093814814815"
"45","Viola arvensis","24.32"
"46","Lolium perenne","25.4071856226923"
"47","Rumex obtusifolius","30.1971184935714"
"48","Galium aparine","33.0207584241613"
"49","Holcus lanatus","32.18407764175"
"50","Quercus robur","13.7566803291181"
"51","Carpinus betulus","18.3502673"
"52","Geum urbanum","36.0021288313636"
"53","Festuca pratensis","21.0119052260577"
"54","Convolvulus arvensis","28.7391532318519"
"55","Lotus glaber","21.4383267878045"
"56","Taraxacum officinale","22.427206362375"
"57","Phleum bertolonii","22.7738546282979"
"58","Cerastium fontanum","38.2619179185455"
"59","Geranium dissectum","22.09254492"
"60","Rumex crispus","23.9109785253333"
"61","Myosotis laxa","40.0988888888889"
"62","Picea abies","6.05424825118421"
"63","Prunus padus","20.8324271686957"
"64","Crataegus monogyna","10.8918091312607"
"65","Rumex conglomeratus","22"
"66","Epilobium montanum","30.2529166666667"
"67","Malus sylvestris","16.1184025004271"
"68","Epilobium parviflorum","29.775"
"69","Cirsium vulgare","14.7780548465484"
"70","Lolium multiflorum","34.9638357580824"
"71","Anthriscus sylvestris","30.4975107352381"
"72","Bromopsis ramosa","26.4647006141925"
"73","Anisantha sterilis","26.4647006141925"
"74","Poa pratensis","27.1786523841732"
"75","Salix aurita","7.54940131624519"
"76","Pulicaria dysenterica","30.55"
"77","Leucanthemum vulgare","17.9973690703125"
"78","Torilis japonica","28.0666666666667"
"79","Elymus repens","24.4979307182857"
"80","Poa annua","36.7588637963636"
"81","Lolium giganteum","28.3353956502001"
"82","Prunus spinosa","13.6342957207919"
"83","Geranium rotundifolium","30.4960466644022"
"84","Atriplex patula","17.375"
"85","Matricaria chamomilla","41"
"86","Primula veris","19.1466666666667"
"87","Matricaria discoidea","23.325"
"88","Sonchus arvensis","22.231954108"
"89","Epilobium angustifolium","19.9566979026753"
"90","Heracleum mantegazzianum","26.6985714285714"
"91","Epilobium ciliatum","41.8736641666667"
"92","Senecio aureus","30.2220992381944"
"93","Alopecurus pratensis","38.3285878613953"
