Date,Site,Quadrant,Species,Cover
15/06/2017,333,3,poo,4
15/06/2017,333,3,Poa bulbosa,12
15/06/2017,333,3,moss,20
15/06/2017,333,3,rock,8
15/06/2017,333,3,Bromus briziformis,0
15/06/2017,333,3,Crepis acuminata,0
15/06/2017,333,3,Stellaria media,30
15/06/2017,333,3,Bromus tectorum,5
15/06/2017,333,4,poo,0
15/06/2017,333,4,Poa bulbosa,5
15/06/2017,333,4,moss,21
15/06/2017,333,4,rock,19
15/06/2017,333,4,Bromus briziformis,0.5
15/06/2017,333,4,Crepis acuminata,5
15/06/2017,333,4,Stellaria media,20
15/06/2017,333,4,Bromus tectorum,3
15/06/2017,333,1,poo,0
15/06/2017,333,1,Poa bulbosa,8
15/06/2017,333,1,moss,7
15/06/2017,333,1,rock,10
15/06/2017,333,1,Bromus briziformis,0
15/06/2017,333,1,Crepis acuminata,0
15/06/2017,333,1,Stellaria media,16
15/06/2017,333,1,Bromus tectorum,4
15/06/2017,333,2,poo,0
15/06/2017,333,2,Poa bulbosa,4
15/06/2017,333,2,moss,10
15/06/2017,333,2,rock,15
15/06/2017,333,2,Bromus briziformis,0
15/06/2017,333,2,Crepis acuminata,2
15/06/2017,333,2,Stellaria media,17
15/06/2017,333,2,Bromus tectorum,1
15/06/2017,332,3,Bromus inermis,100
15/06/2017,332,3,Symphoricarpos oreophilus,19
15/06/2017,332,3,Agastache urticifolia,3
15/06/2017,332,4,Bromus inermis,100
15/06/2017,332,4,Symphoricarpos oreophilus,9
15/06/2017,332,4,Agastache urticifolia,2
15/06/2017,332,1,Bromus inermis,90
15/06/2017,332,1,Symphoricarpos oreophilus,16
15/06/2017,332,1,Agastache urticifolia,0
15/06/2017,332,2,Bromus inermis,90
15/06/2017,332,2,Symphoricarpos oreophilus,15
15/06/2017,332,2,Agastache urticifolia,10
15/06/2017,331,3,Artemisia tridentata,0
15/06/2017,331,3,Helianthella uniflora,40
15/06/2017,331,3,Prunus virginiana,0
15/06/2017,331,3,Lathyrus pauciflorus,0
15/06/2017,331,3,Crepis acuminata,0
15/06/2017,331,3,pointy,0
15/06/2017,331,3,Poa secunda,30
15/06/2017,331,3,soil,10
15/06/2017,331,3,Poa pratensis,0
15/06/2017,331,3,Achillea millefolium,0
15/06/2017,331,3,Verbascum thapsus,1
15/06/2017,331,3,Eriogonum heracleoides,1
15/06/2017,331,4,Artemisia tridentata,0
15/06/2017,331,4,Helianthella uniflora,60
15/06/2017,331,4,Prunus virginiana,0
15/06/2017,331,4,Lathyrus pauciflorus,2
15/06/2017,331,4,Crepis acuminata,0
15/06/2017,331,4,pointy,0
15/06/2017,331,4,Poa secunda,30
15/06/2017,331,4,soil,0
15/06/2017,331,4,Poa pratensis,0
15/06/2017,331,4,Achillea millefolium,8
15/06/2017,331,4,Verbascum thapsus,0
15/06/2017,331,4,Eriogonum heracleoides,0
15/06/2017,331,2,Artemisia tridentata,25
15/06/2017,331,2,Helianthella uniflora,5
15/06/2017,331,2,Prunus virginiana,0
15/06/2017,331,2,Lathyrus pauciflorus,1
15/06/2017,331,2,Crepis acuminata,2
15/06/2017,331,2,pointy,0
15/06/2017,331,2,Poa secunda,40
15/06/2017,331,2,soil,0
15/06/2017,331,2,Poa pratensis,1
15/06/2017,331,2,Achillea millefolium,0
15/06/2017,331,2,Verbascum thapsus,0
15/06/2017,331,2,Eriogonum heracleoides,0
15/06/2017,331,1,Artemisia tridentata,50
15/06/2017,331,1,Helianthella uniflora,15
15/06/2017,331,1,Prunus virginiana,0
15/06/2017,331,1,Lathyrus pauciflorus,4
15/06/2017,331,1,Crepis acuminata,0
15/06/2017,331,1,pointy,3
15/06/2017,331,1,Poa secunda,40
15/06/2017,331,1,soil,2
15/06/2017,331,1,Poa pratensis,1
15/06/2017,331,1,Achillea millefolium,0
15/06/2017,331,1,Verbascum thapsus,0
15/06/2017,331,1,Eriogonum heracleoides,0
16/06/2017,311,3,Rudbeckia occidentalis,0
16/06/2017,311,3,Lathyrus pauciflorus,20
16/06/2017,311,3,Agastache urticifolia,0
16/06/2017,311,3,Berberis repens,12
16/06/2017,311,3,Prunus virginiana,100
16/06/2017,311,3,Achillea millefolium,3
16/06/2017,311,3,Taraxacum officinale,0
16/06/2017,311,3,Bromus inermis,40
16/06/2017,311,3,grass (dead),70
16/06/2017,311,3,Galium boreale,0
16/06/2017,311,3,Osmorhiza berteroi,0
16/06/2017,311,4,Rudbeckia occidentalis,24
16/06/2017,311,4,Lathyrus pauciflorus,10
16/06/2017,311,4,Agastache urticifolia,22
16/06/2017,311,4,Berberis repens,3
16/06/2017,311,4,Prunus virginiana,0
16/06/2017,311,4,Achillea millefolium,1
16/06/2017,311,4,Taraxacum officinale,0
16/06/2017,311,4,Bromus inermis,4
16/06/2017,311,4,grass (dead),70
