Date,Plot_id,Quadrant,Species,Cover,Notes
19/05/2020,1122,1,Poa bulbosa,37,
19/05/2020,1122,1,Elymus trachycaulus,13,
19/05/2020,1122,1,Crepis acuminata,18,
19/05/2020,1122,1,Lomatium ambiguum,1,
19/05/2020,1122,1,moss,8,
19/05/2020,1122,1,rock,12,
19/05/2020,1122,1,soil,7,
19/05/2020,1122,1,organic matter,10,
19/05/2020,1122,1,Balsamorhiza sagittata,0,
19/05/2020,1122,1,Tragopogon dubius,0,
19/05/2020,1122,2,Poa bulbosa,33,
19/05/2020,1122,2,Elymus trachycaulus,8,
19/05/2020,1122,2,Crepis acuminata,16,
19/05/2020,1122,2,Lomatium ambiguum,3,
19/05/2020,1122,2,moss,7,
19/05/2020,1122,2,rock,17,
19/05/2020,1122,2,soil,10,
19/05/2020,1122,2,organic matter,7,
19/05/2020,1122,2,Balsamorhiza sagittata,3,
19/05/2020,1122,2,Tragopogon dubius,0,
19/05/2020,1122,3,Poa bulbosa,37,
19/05/2020,1122,3,Elymus trachycaulus,10,
19/05/2020,1122,3,Crepis acuminata,15,
19/05/2020,1122,3,Lomatium ambiguum,0,
19/05/2020,1122,3,moss,6,
19/05/2020,1122,3,rock,19,
19/05/2020,1122,3,soil,9,
19/05/2020,1122,3,organic matter,9,
19/05/2020,1122,3,Balsamorhiza sagittata,0,
19/05/2020,1122,3,Tragopogon dubius,2,
19/05/2020,1122,4,Poa bulbosa,65,
19/05/2020,1122,4,Elymus trachycaulus,0,
19/05/2020,1122,4,Crepis acuminata,2,overhang-2
19/05/2020,1122,4,Lomatium ambiguum,0,
19/05/2020,1122,4,moss,17,
19/05/2020,1122,4,rock,12,
19/05/2020,1122,4,soil,3,
19/05/2020,1122,4,organic matter,7,
19/05/2020,1122,4,Balsamorhiza sagittata,0,
19/05/2020,1122,4,Tragopogon dubius,0,
19/05/2020,1211,1,Poa bulbosa,12,
19/05/2020,1211,1,Erodium cicutarium,10,
19/05/2020,1211,1,Bromus tectorum,2,
19/05/2020,1211,1,Bromus briziformis,6,
19/05/2020,1211,1,Pseudoroegneria spicata,24,
19/05/2020,1211,1,Agoseris parviflora,0,overhang-2
19/05/2020,1211,1,Tragopogon dubius,0,
19/05/2020,1211,1,Lactuca serriola,0,
19/05/2020,1211,1,Lithospermum ruderale,0,
19/05/2020,1211,1,rock,38,
19/05/2020,1211,1,soil,22,
19/05/2020,1211,1,organic matter,8,
19/05/2020,1211,1,poo,0,ungulate
19/05/2020,1211,1,Purshia tridentata,0,
19/05/2020,1211,2,Poa bulbosa,16,
19/05/2020,1211,2,Erodium cicutarium,10,
19/05/2020,1211,2,Bromus tectorum,1,
19/05/2020,1211,2,Bromus briziformis,3,
19/05/2020,1211,2,Pseudoroegneria spicata,23,
19/05/2020,1211,2,Agoseris parviflora,0,
19/05/2020,1211,2,Tragopogon dubius,3,
19/05/2020,1211,2,Lactuca serriola,0,
19/05/2020,1211,2,Lithospermum ruderale,0,
19/05/2020,1211,2,rock,24,
19/05/2020,1211,2,soil,23,
19/05/2020,1211,2,organic matter,2,
19/05/2020,1211,2,poo,1,ungulate
19/05/2020,1211,2,Purshia tridentata,0,
19/05/2020,1211,3,Poa bulbosa,10,
19/05/2020,1211,3,Erodium cicutarium,12,
19/05/2020,1211,3,Bromus tectorum,8,
19/05/2020,1211,3,Bromus briziformis,4,
19/05/2020,1211,3,Pseudoroegneria spicata,13,
19/05/2020,1211,3,Agoseris parviflora,0,
19/05/2020,1211,3,Tragopogon dubius,4,
19/05/2020,1211,3,Lactuca serriola,0,
19/05/2020,1211,3,Lithospermum ruderale,0,
19/05/2020,1211,3,rock,19,
19/05/2020,1211,3,soil,25,
19/05/2020,1211,3,organic matter,5,
19/05/2020,1211,3,poo,0,ungulate
19/05/2020,1211,3,Purshia tridentata,0,overhang-17
19/05/2020,1211,4,Poa bulbosa,17,
19/05/2020,1211,4,Erodium cicutarium,7,
19/05/2020,1211,4,Bromus tectorum,3,
19/05/2020,1211,4,Bromus briziformis,0,
19/05/2020,1211,4,Pseudoroegneria spicata,33,
19/05/2020,1211,4,Agoseris parviflora,0,
19/05/2020,1211,4,Tragopogon dubius,3,
19/05/2020,1211,4,Lactuca serriola,0.5,
19/05/2020,1211,4,Lithospermum ruderale,0.5,
19/05/2020,1211,4,rock,30,
19/05/2020,1211,4,soil,11,
19/05/2020,1211,4,organic matter,3,
19/05/2020,1211,4,poo,8,ungulate
19/05/2020,1211,4,Purshia tridentata,0,overhang-2
19/05/2020,1222,1,Poa bulbosa,17,
19/05/2020,1222,1,Lomatium dissectum,6,
19/05/2020,1222,1,Lactuca serriola,5,
19/05/2020,1222,1,Tragopogon dubius,3,
19/05/2020,1222,1,Agoseris parviflora,3,
19/05/2020,1222,1,Cirsium pulcherrimum,0,
19/05/2020,1222,1,Crepis acuminata,0,
19/05/2020,1222,1,Penstemon humilis,0,
19/05/2020,1222,1,rock,65,
19/05/2020,1222,1,soil,20,
19/05/2020,1222,1,Alyssum desertorum,0.5,
19/05/2020,1222,1,Bromus briziformis,1,
19/05/2020,1222,1,organic matter,10,
19/05/2020,1222,1,animal hair,0,
19/05/2020,1222,2,Poa bulbosa,16,
19/05/2020,1222,2,Lomatium dissectum,6,
19/05/2020,1222,2,Lactuca serriola,2,
19/05/2020,1222,2,Tragopogon dubius,3,
19/05/2020,1222,2,Agoseris parviflora,0,
19/05/2020,1222,2,Cirsium pulcherrimum,0,
19/05/2020,1222,2,Crepis acuminata,0,
19/05/2020,1222,2,Penstemon humilis,0,
19/05/2020,1222,2,rock,70,
19/05/2020,1222,2,soil,14,
19/05/2020,1222,2,Alyssum desertorum,0.5,
19/05/2020,1222,2,Bromus briziformis,0.5,
19/05/2020,1222,2,organic matter,2,
19/05/2020,1222,2,animal hair,1,
19/05/2020,1222,3,Poa bulbosa,21,
19/05/2020,1222,3,Lomatium dissectum,3,
19/05/2020,1222,3,Lactuca serriola,2,
19/05/2020,1222,3,Tragopogon dubius,3,
19/05/2020,1222,3,Agoseris parviflora,0,
19/05/2020,1222,3,Cirsium pulcherrimum,0,
19/05/2020,1222,3,Crepis acuminata,0,
19/05/2020,1222,3,Penstemon humilis,0,
19/05/2020,1222,3,rock,70,
19/05/2020,1222,3,soil,14,
19/05/2020,1222,3,Alyssum desertorum,0.5,
19/05/2020,1222,3,Bromus briziformis,0.5,
19/05/2020,1222,3,organic matter,2,
19/05/2020,1222,3,animal hair,1,
19/05/2020,1222,4,Poa bulbosa,19,
19/05/2020,1222,4,Lomatium dissectum,0,overhang-3
19/05/2020,1222,4,Lactuca serriola,0,
19/05/2020,1222,4,Tragopogon dubius,0,
19/05/2020,1222,4,Agoseris parviflora,0,
19/05/2020,1222,4,Cirsium pulcherrimum,0,
19/05/2020,1222,4,Crepis acuminata,6,
19/05/2020,1222,4,Penstemon humilis,0,
19/05/2020,1222,4,rock,46,
19/05/2020,1222,4,soil,35,
19/05/2020,1222,4,Alyssum desertorum,0.5,
19/05/2020,1222,4,Bromus briziformis,0.5,
19/05/2020,1222,4,organic matter,4,
19/05/2020,1222,4,animal hair,1,
22/05/2020,2111,1,Poa bulbosa,4,
22/05/2020,2111,1,Senecio integerrimus,0,overhang-2
22/05/2020,2111,1,Viola purpurea,17,
22/05/2020,2111,1,Galium aparine,2,
22/05/2020,2111,1,Bromus tectorum,2,
22/05/2020,2111,1,Crepis acuminata,0,
22/05/2020,2111,1,Bromus briziformis,2,
